epoch,train_loss,val_loss,lr
1,0.9018452738775574,0.8581812367850529,0.001
2,0.6183575551996949,0.6666260839620114,0.001
3,0.455446935298195,0.5367780216646083,0.001
4,0.3934604280311147,0.3021044069792563,0.001
5,0.35268929831443296,0.2566715419848204,0.001
6,0.31121471054237804,0.17956511679784956,0.001
7,0.30839187280678837,0.20445514454708233,0.001
8,0.2857275294573931,0.18392248080049084,0.001
9,0.2720407666698579,0.16572285566852366,0.001
10,0.26890047830279157,0.19639787140426102,0.001
11,0.2636803351209155,0.17216614117989174,0.001
12,0.2591523741308506,0.1623892638927851,0.001
13,0.25786905948833755,0.1514334696711916,0.001
14,0.25092309104498994,0.15101501053863473,0.001
15,0.2386035501102393,0.14040948349834878,0.001
16,0.23632483967316192,0.15550665401078603,0.001
17,0.23620208881020974,0.20570223863586123,0.001
18,0.23305075461291924,0.16574151629890319,0.001
19,0.23475233785354108,0.15625390861973618,0.001
20,0.2295826728625964,0.14263340441774933,0.001
21,0.2196156326694728,0.1642437424415197,0.001
22,0.21895516842710502,0.16832172919264485,0.001
23,0.22217081288496654,0.16357003642128898,0.001
24,0.21612337490136477,0.16452782616748676,0.0005
25,0.2099337269007946,0.18852816122673052,0.0005
26,0.2044278382720913,0.2918955949080852,0.0005
27,0.22735052663151936,0.34073366589479515,0.0005
28,0.2174313812486587,0.2704947073976477,0.0005
29,0.20673374782540038,0.22550701351710412,0.0005
30,0.19866668251893854,0.22832358744872477,0.0005
31,0.20196062520840688,0.22286873458426593,0.0005
32,0.2024487188319579,0.2256163257957894,0.0005
33,0.19527403500772292,0.23385250644806105,0.00025
34,0.19445174670774876,0.25620470249847377,0.00025
35,0.19947004199668925,0.26140065800337803,0.00025
