epoch,train_loss,val_loss,lr
1,0.9209839916571066,0.33634330585842087,0.001
2,0.6713761563155813,0.253729765301262,0.001
3,0.3669794159337184,0.25256629659857227,0.001
4,0.28002711713954964,0.23466788110755263,0.001
5,0.24755049278445568,0.21305284758547802,0.001
6,0.2220049332974205,0.1769261796435554,0.001
7,0.2076793631772414,0.17511405029913762,0.001
8,0.20755414173380876,0.155255878374571,0.001
9,0.20376996044403337,0.1429334376658593,0.001
10,0.19112999977604037,0.13804039157631792,0.001
11,0.18752209289954128,0.13268072243198092,0.001
12,0.19220883290827487,0.1267564400405317,0.001
13,0.18812599297492735,0.11988743500553922,0.001
14,0.1912019258545291,0.11536694976277563,0.001
15,0.18905230991301997,0.11881054762429569,0.001
16,0.18859672109499628,0.10417288263916691,0.001
17,0.184389457448409,0.10208107697796988,0.001
18,0.17578245609678247,0.1075143440515845,0.001
19,0.17896130678901537,0.10772839920608314,0.001
20,0.18890383099356006,0.09978040235685857,0.001
21,0.18678109827434716,0.10272823112619507,0.001
22,0.18280924724207984,0.12555027915499148,0.001
23,0.18543241840109603,0.10510715306465164,0.001
24,0.18498317499955494,0.09808220736908191,0.001
25,0.18038150409643797,0.09771796188258625,0.001
26,0.18185132152290753,0.10024445577761232,0.001
27,0.1795180711374488,0.0940261984065974,0.001
28,0.17759827686253415,0.10285414130989211,0.001
29,0.1925293023441,0.09839249343235731,0.001
30,0.1776782952970074,0.0948463919678907,0.001
31,0.18068190527859554,0.0897130131252579,0.001
32,0.1877873040762426,0.08835903788745264,0.001
33,0.18177552155909998,0.0820385810586956,0.001
34,0.17998636161981946,0.08450694082604422,0.001
35,0.17259208186125669,0.08945128424114836,0.001
36,0.17601381054274925,0.09546626605840274,0.001
37,0.1782464510116953,0.10506147424102108,0.001
38,0.1783312801498666,0.09365450887830107,0.001
39,0.18374202987412824,0.1019888929067514,0.001
40,0.18196324506327244,0.09464050413463221,0.001
41,0.16972430328100813,0.0856115855189748,0.001
42,0.18017322390096588,0.08305419529929306,0.0005
43,0.176815108789338,0.09008105021048259,0.0005
44,0.17769112197088086,0.08994717323731431,0.0005
45,0.1742572255352492,0.08564093492768861,0.0005
46,0.17972491346166125,0.08692784458051472,0.0005
47,0.18021050444854203,0.08135362588615962,0.0005
48,0.18639512082368243,0.08279218263316265,0.0005
49,0.17614316107124411,0.08677065072880759,0.0005
50,0.17855092733564343,0.08217508750500935,0.0005
