feature,importance
Moving Average 20 Day,0.005023328514950913
Ask Price,0.003909849055185083
Bid Price,0.0038158148365572855
Price Change 1 Day Percent,0.0037525231430134776
High Price,0.002830490422956342
Price to Sales Ratio,0.0028303223228122324
Dividend Indicated Yld - Gross,0.002778945216717554
Low Price,0.0024307158914666947
Price to Book Ratio,0.0015393841716637064
Price Earnings Ratio,0.0013100012679661403
