feature,importance
Bid Price,48147149571897.63
Dividend Indicated Yld - Gross,48147149571897.63
Ask Price,2503596757990.3174
Price Earnings Ratio,0.0055516820606647714
Low Price,0.004299229278184346
Price to Sales Ratio,0.0028619909578886157
Moving Average 20 Day,0.0026819929324722624
High Price,0.002412558843002462
Price Change 1 Day Percent,0.0022314512380699615
Price to Book Ratio,0.0022143751873611793
