"bank","case","seed","model","macro","optimize","rmse","mae","mape","mse","path"
"BBNI","autoformer_macro_random","82","autoformer","True","True","491.204355385821","388.183349609375","7.67747068405151","241281.71875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\autoformer_macro_random\seed_82\BBNI\summary_transformer.json"
"BBNI","informer_data","42","informer","False","False","216.437355616469","140.104309082031","2.68156886100769","46845.12890625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data\seed_42\BBNI\summary_transformer.json"
"BBNI","informer_data","52","informer","False","False","246.566999325234","175.123565673828","3.37827277183533","60795.28515625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data\seed_52\BBNI\summary_transformer.json"
"BBNI","informer_data","62","informer","False","False","242.999300732019","150.277862548828","2.85547947883606","59048.66015625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data\seed_62\BBNI\summary_transformer.json"
"BBNI","informer_data","72","informer","False","False","212.279462766656","138.057479858398","2.64301943778992","45062.5703125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data\seed_72\BBNI\summary_transformer.json"
"BBNI","informer_data","82","informer","False","False","180.035510820088","124.203407287598","2.44213318824768","32412.78515625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data\seed_82\BBNI\summary_transformer.json"
"BBNI","informer_data_random","42","informer","False","True","190.659945567363","134.763778686523","2.62647080421448","36351.21484375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data_random\seed_42\BBNI\summary_transformer.json"
"BBNI","informer_data_random","52","informer","False","True","296.208251277712","210.352203369141","4.04997158050537","87739.328125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data_random\seed_52\BBNI\summary_transformer.json"
"BBNI","informer_data_random","62","informer","False","True","329.681877914149","244.303131103516","4.72678852081299","108690.140625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data_random\seed_62\BBNI\summary_transformer.json"
"BBNI","informer_data_random","72","informer","False","True","352.083153353011","213.636566162109","4.01093864440918","123962.546875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data_random\seed_72\BBNI\summary_transformer.json"
"BBNI","informer_data_random","82","informer","False","True","359.372010857134","244.374038696289","4.65941190719604","129148.2421875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_data_random\seed_82\BBNI\summary_transformer.json"
"BBNI","informer_macro","42","informer","True","False","294.80482155572","222.816375732422","4.38148021697998","86909.8828125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro\seed_42\BBNI\summary_transformer.json"
