"bank","rec_case","rec_rmse","rec_mae","rec_mape","tr_case","tr_rmse","tr_mae","tr_mape","rmse_impr","mae_impr","mape_impr"
"BBCA","bilstm_data","1881.52983065928","1721.5466796875","18.3646608352661","autoformer_macro","545.928039689145","456.430700683594","5.06519236564636","70.9848852357629","73.4871725484408","72.4188079971531"
"BBNI","bilstm_data","335.85227363699","252.657888793945","4.90307173728943","informer_data","219.663725852093","145.553324890137","2.80009474754334","34.5951350951641","42.3911417985281","42.8910100121987"
"BBRI","bilstm_data","525.703408704122","435.440234375","8.33828887939452","informer_macro","379.212973357794","296.388226318359","5.68943901062012","27.8656050010086","31.9336609434418","31.7673075026246"
"BBTN","bilstm_data_ga","51.4428897654735","43.4830795288086","3.23421385288239","informer_data_random","43.0054040162595","35.3191883087158","2.62519407272339","16.4016558705784","18.7748690032038","18.8305352664367"
"BDMN","lstm_data","120.716721404299","98.3160461425779","3.7384042263031","informer_data","76.8167761881587","55.192431640625","2.05654892921448","36.3660847523458","43.8622342882006","44.9885885869492"
"BMRI","bilstm_macro_ga","1388.70547158187","1165.79321289063","19.0942672729492","informer_data_random","885.211409449651","727.411212158204","11.8521195411682","36.256360505204","37.6037530399957","37.9283877629645"
"BNGA","bilstm_data","244.144572900867","192.773126220703","11.226184463501","informer_data","132.561429353703","101.88451385498","6.1920334815979","45.7037165403108","47.1479682607137","44.8429383845446"
