feature,importance
Moving Average 20 Day,0.006795773153126855
High Price,0.005438386295502039
Ask Price,0.0032719269038830015
Dividend Indicated Yld - Gross,0.0032584826546083728
Price to Book Ratio,0.0029858114799330773
Bid Price,0.002972539793154296
ihsg_close,0.002748066595178934
Low Price,0.002706148478345888
Price to Sales Ratio,0.0026345882597835152
cpi_index,0.002596183635367659
Price Earnings Ratio,0.002185965892785627
ihsg_return_1d,0.0019867120113131746
exchange_rate_usd_idr,0.0018708529179008344
bi_rate,0.0018319988203086969
Price Change 1 Day Percent,0.0017932893561526607
inflation_rate,0.0017121953669048178
