epoch,train_loss,val_loss,lr,train_seconds,val_seconds,epoch_seconds
1,0.5014662158318318,0.3609704696909809,0.001,0.9690358119999019,0.022100996999938616,0.9911753689999614
2,0.21056229515955868,0.2866441256655402,0.001,0.10109276399998635,0.011257763000003251,0.11236274700002014
3,0.16633588803070848,0.26884002730007217,0.001,0.10070923500006757,0.011243111999988287,0.11195933800001967
4,0.15073014544757035,0.23558751568371877,0.001,0.10130810799989831,0.010891644000025735,0.11220643299998301
5,0.15302108481366147,0.19591590699616013,0.001,0.099926116000006,0.01123154300000806,0.11116514900004404
6,0.151588019050364,0.14294608302049702,0.001,0.09957075800002713,0.011055948000034732,0.11063341599992782
7,0.15014100588564377,0.15393190193565298,0.001,0.09974226199994973,0.011058837999939897,0.11080905000005714
8,0.1480031255539173,0.1819092194378237,0.001,0.09964423900009933,0.011260192999998253,0.11091158200008522
9,0.15171552135952912,0.14720309058547298,0.001,0.09968751999997494,0.01122067199992216,0.11091493200001423
10,0.13766212352287813,0.14558963904847633,0.001,0.0998810029999504,0.011238573000014185,0.11112638600002356
11,0.14060453656112848,0.14997171744322166,0.001,0.10342784700003449,0.011107488999982706,0.11454180600003383
12,0.1408751874040532,0.16390912127105783,0.001,0.09866030600005615,0.011099139000066316,0.10976610499994877
13,0.1428936546528211,0.1731711118927091,0.001,0.10022689200002333,0.0111898119999978,0.11142322400007743
14,0.13940696535785566,0.20331563079829537,0.001,0.10050313800002186,0.011188241000013477,0.11169769000002816
15,0.13624321488817107,0.2042351114999998,0.0005,0.09922900899994147,0.011102129999926547,0.11034846899997319
16,0.13200613970611258,0.19615890721341114,0.0005,0.10053922900010548,0.0110961990000078,0.11164200800010349
17,0.1347935945863792,0.20379988213519115,0.0005,0.09899460299993734,0.011114879999922778,0.11011550299997452
18,0.13507665354611625,0.19594027925204563,0.0005,0.09953099699998802,0.011267502999999124,0.1108051210001122
19,0.13525109351963124,0.19411761298046246,0.0005,0.09951857699991251,0.011096929000018463,0.11062206599990532
20,0.13460603057804074,0.21136097314752342,0.0005,0.09958481800003938,0.011278473999936978,0.11087093200001163
21,0.13563429843033514,0.21856768307708083,0.0005,0.0989306230000011,0.011158871000020554,0.11009657299996434
22,0.13616727723015679,0.20862264378921136,0.0005,0.10130954800001746,0.011172260999956052,0.1124889399999347
23,0.13502087433919258,0.21457414492304785,0.0005,0.10233179200008635,0.011394426000038038,0.11373289899995598
24,0.13490046224286478,0.2161114138739926,0.00025,0.10843394500000159,0.011916068000004998,0.12036949399998775
25,0.1316637291703173,0.21146829888259336,0.00025,0.10355465099996763,0.011338905000002342,0.11490077600001314
26,0.13304673053030472,0.21986498490913764,0.00025,0.10330771400003869,0.011158900999930665,0.1144740949999914
