epoch,train_loss,val_loss,lr,train_seconds,val_seconds,epoch_seconds
1,0.6259913340691597,0.317000640230579,0.001,0.98244118599996,0.020633659999930387,1.0030901070000482
2,0.21853621135262177,0.20917457899638822,0.001,0.10028552100004617,0.011533954000015001,0.11183189600001242
3,0.19609098028538474,0.20329001184665796,0.001,0.09996725499991044,0.011173725000048762,0.1111478600000737
4,0.18403629817629374,0.22709250321616103,0.001,0.10084308599994074,0.011201367000012397,0.11205268399999113
5,0.1735924443463698,0.2424111397359477,0.001,0.10210204899999553,0.01095467599998301,0.11306421699998737
6,0.16974412580972076,0.22929205652543436,0.001,0.10269654799992622,0.011460489000000962,0.11416358700000728
7,0.16241132539019362,0.2465902443775486,0.001,0.1091811000000007,0.01108790700004647,0.12027532799993423
8,0.1585001747668003,0.25894601471149004,0.001,0.10319018799998503,0.0110157019998951,0.11421249999989413
9,0.16128393901932625,0.23425942356318305,0.001,0.10479957999996259,0.01108215699991888,0.11588782799992714
10,0.15605736967696937,0.2700295274369505,0.001,0.10240751400010595,0.01146560799998042,0.11387985300007131
11,0.16279117269541626,0.2584570864940579,0.001,0.09833238999999594,0.010799883999993654,0.10913881500005118
12,0.15238849827251982,0.28482603960798614,0.0005,0.0990481290000389,0.011197777000006681,0.11026546699997652
13,0.14937550169165417,0.23044254856579233,0.0005,0.10007963300006395,0.011124240999947688,0.11120995400005995
14,0.14737787586386486,0.24957624435563744,0.0005,0.0993101999999908,0.010979788999975426,0.11029600999995637
15,0.1430305942519164,0.24254193710975158,0.0005,0.09836556300001575,0.011047605000044314,0.10942002799993134
16,0.14659795976881485,0.2546614256442149,0.0005,0.09844054899997445,0.01096873799997411,0.10941548799996781
17,0.1453705248973703,0.25930732504262793,0.0005,0.09805485799995495,0.010873940000010407,0.1089352390000613
18,0.14606363491345478,0.25335243979950883,0.0005,0.09854359799999202,0.01081892600006995,0.10936876499999926
19,0.14761239754897293,0.24078976989903927,0.0005,0.09948692599994047,0.010952766000059455,0.11044606299992665
20,0.14479319921637948,0.25383542999104186,0.0005,0.09911317500007044,0.0108281770000076,0.10994749200006027
21,0.14377122051399668,0.268244730460616,0.00025,0.10372655300000133,0.0109785990000546,0.11472272399998928
22,0.1402046175626871,0.2421403290716918,0.00025,0.10150424999994812,0.010978249000004325,0.11249005000001944
23,0.143820289258034,0.23729232564082234,0.00025,0.09970451399999547,0.010838007000074867,0.110549080999931
