feature,importance,model
t59_Ask Price,0.11153088,xgb
t59_Bid Price,0.061401952,xgb
t19_Ask Price,0.06094436,xgb
t13_Bid Price,0.057812437,xgb
t17_Low Price,0.0525272,xgb
t04_Ask Price,0.04633725,xgb
t00_High Price,0.036999308,xgb
t59_High Price,0.03521662,xgb
t49_Moving Average 20 Day,0.03441492,xgb
t59_Low Price,0.032434784,xgb
t55_High Price,0.03137549,xgb
t52_Low Price,0.028067267,xgb
t09_High Price,0.02608558,xgb
t22_Low Price,0.023460714,xgb
t53_High Price,0.019250344,xgb
t58_Ask Price,0.017081734,xgb
t32_Ask Price,0.017034056,xgb
t27_Ask Price,0.016504077,xgb
t06_Low Price,0.01577862,xgb
t39_Low Price,0.015609856,xgb
t59_Price to Sales Ratio,0.014941781,xgb
t05_bi_rate,0.014909481,xgb
t12_Low Price,0.013473319,xgb
t32_Low Price,0.01330696,xgb
t58_High Price,0.013290921,xgb
t15_Price to Sales Ratio,0.012785005,xgb
t19_Price to Sales Ratio,0.012252937,xgb
t49_cpi_index,0.011791945,xgb
t11_Low Price,0.011729591,xgb
t57_Ask Price,0.011590589,xgb
t44_Ask Price,0.011177981,xgb
t04_bi_rate,0.010815034,xgb
t31_Price to Sales Ratio,0.008923458,xgb
t04_Bid Price,0.008374341,xgb
t56_Low Price,0.008325479,xgb
t35_Moving Average 20 Day,0.008224699,xgb
t55_Bid Price,0.0076715266,xgb
t13_Low Price,0.0053290124,xgb
t30_Dividend Indicated Yld - Gross,0.00513733,xgb
t34_Moving Average 20 Day,0.005104486,xgb
t02_Ask Price,0.0050437874,xgb
t26_Moving Average 20 Day,0.004941746,xgb
t55_Ask Price,0.004892465,xgb
t27_High Price,0.004722894,xgb
t59_Price Earnings Ratio,0.0046130754,xgb
t48_inflation_rate,0.004314435,xgb
t59_ihsg_close,0.004290524,xgb
t53_Ask Price,0.0040299855,xgb
t56_Moving Average 20 Day,0.003983855,xgb
t29_Price to Sales Ratio,0.0036188406,xgb
t01_Moving Average 20 Day,0.0035882269,xgb
t45_Bid Price,0.0034935442,xgb
t26_Bid Price,0.0032704556,xgb
t37_Price to Sales Ratio,0.0031949768,xgb
t50_ihsg_close,0.0031665699,xgb
t22_Bid Price,0.00302967,xgb
t02_Price to Sales Ratio,0.0029600076,xgb
t03_bi_rate,0.0027831686,xgb
t22_bi_rate,0.0027137545,xgb
t33_Price to Sales Ratio,0.0026512574,xgb
t47_Price to Sales Ratio,0.0024762654,xgb
t03_Low Price,0.0024484126,xgb
t16_High Price,0.0023945728,xgb
t37_Bid Price,0.002290047,xgb
t08_Low Price,0.0022879045,xgb
t54_Ask Price,0.0022107537,xgb
t57_High Price,0.002200227,xgb
t43_ihsg_close,0.002192876,xgb
t39_Bid Price,0.0021626367,xgb
t52_Bid Price,0.002131687,xgb
t51_Low Price,0.0019541655,xgb
t47_ihsg_close,0.0017781807,xgb
t48_Ask Price,0.0017476387,xgb
t16_bi_rate,0.0017152382,xgb
t58_ihsg_close,0.0017143234,xgb
t47_Dividend Indicated Yld - Gross,0.0016450813,xgb
t14_Low Price,0.0016276181,xgb
t56_Ask Price,0.0015768901,xgb
t09_bi_rate,0.001553492,xgb
t49_ihsg_close,0.0015345096,xgb
t54_Low Price,0.0014499053,xgb
t49_Ask Price,0.0014358558,xgb
t31_Bid Price,0.0014218609,xgb
t14_cpi_index,0.0014172397,xgb
t50_Bid Price,0.001405374,xgb
t22_Moving Average 20 Day,0.001348853,xgb
t39_Ask Price,0.0013381458,xgb
t01_Ask Price,0.0013256029,xgb
t15_Moving Average 20 Day,0.0013091078,xgb
t51_Bid Price,0.0013021877,xgb
t34_High Price,0.0012864792,xgb
t02_Low Price,0.0012114948,xgb
t00_Bid Price,0.0011568151,xgb
t46_bi_rate,0.0011330231,xgb
t43_Price to Sales Ratio,0.0010736795,xgb
t13_ihsg_close,0.0010605978,xgb
t31_Ask Price,0.0010370911,xgb
t57_ihsg_close,0.0010078305,xgb
t51_High Price,0.0010040412,xgb
t59_ihsg_return_1d,0.0009805929,xgb
t09_Moving Average 20 Day,0.00097478705,xgb
t38_Price Earnings Ratio,0.00096921646,xgb
t08_ihsg_close,0.00091294094,xgb
t50_Ask Price,0.0008818229,xgb
t11_High Price,0.00088125386,xgb
t49_High Price,0.0008231314,xgb
t07_Low Price,0.0007846967,xgb
t55_Price Earnings Ratio,0.0007730194,xgb
t54_Bid Price,0.00076674676,xgb
t51_ihsg_close,0.00074513844,xgb
t08_Moving Average 20 Day,0.0007212239,xgb
t59_Price Change 1 Day Percent,0.0007208942,xgb
t04_Price to Book Ratio,0.0007092387,xgb
t02_Moving Average 20 Day,0.0006837302,xgb
t49_Price to Sales Ratio,0.0006547401,xgb
t07_ihsg_return_1d,0.0006225898,xgb
t05_cpi_index,0.00058334053,xgb
t15_High Price,0.0005597548,xgb
t58_Bid Price,0.0005231789,xgb
t14_Price Earnings Ratio,0.0005170473,xgb
t20_Price Earnings Ratio,0.0005149943,xgb
t31_High Price,0.00050932926,xgb
t22_Price to Book Ratio,0.000503286,xgb
t07_cpi_index,0.00050160877,xgb
t00_Moving Average 20 Day,0.0004845353,xgb
t17_Price to Book Ratio,0.00047989082,xgb
t03_Price Earnings Ratio,0.00047599175,xgb
t36_bi_rate,0.00047224603,xgb
t16_Dividend Indicated Yld - Gross,0.0004493091,xgb
t59_Price to Book Ratio,0.0004455007,xgb
t00_Price Earnings Ratio,0.0004442573,xgb
