trial,val_mae,params
24,482.17010498046875,"{""n_estimators"": 1001, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 4.0, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""gamma"": 0.2}"
25,377.8070373535156,"{""n_estimators"": 1657, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 6.0, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
26,372.65777587890625,"{""n_estimators"": 789, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 1.0, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
27,423.9869689941406,"{""n_estimators"": 1287, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 4.0, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
28,454.14605712890625,"{""n_estimators"": 1268, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
29,312.1282043457031,"{""n_estimators"": 1224, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 1.0, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""gamma"": 0.0}"
30,348.3789978027344,"{""n_estimators"": 1680, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1.0, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
31,409.40301513671875,"{""n_estimators"": 1817, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 8.0, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""gamma"": 0.1}"
32,373.5583801269531,"{""n_estimators"": 1851, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
33,430.1548767089844,"{""n_estimators"": 632, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 1.0, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
34,480.6074523925781,"{""n_estimators"": 603, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 4.0, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
35,388.48193359375,"{""n_estimators"": 487, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 4.0, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""gamma"": 0.1}"
36,428.8197021484375,"{""n_estimators"": 1427, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
