feature,importance
Price Earnings Ratio,0.004608319914485835
inflation_rate,0.003649546218492712
Ask Price,0.0026221558008387397
bi_rate,0.0018661202112626764
cpi_index,0.0018419556564573936
Price to Book Ratio,0.0012447673177996977
Bid Price,0.0012349943489035808
High Price,0.0009137351808714723
Moving Average 20 Day,0.0006989400639819605
Price to Sales Ratio,0.0006970111969525796
ihsg_return_1d,0.0004951645018688098
exchange_rate_usd_idr,0.00035112314302629464
Price Change 1 Day Percent,0.00016858038601155124
Low Price,0.00012851848344628983
Dividend Indicated Yld - Gross,0.0
ihsg_close,0.0
