feature,importance
Moving Average 20 Day,0.005102652100668776
Price Earnings Ratio,0.004602131838466792
Price to Sales Ratio,0.0037188751778254895
Price to Book Ratio,0.0034941856494350785
ihsg_close,0.0024477303338547546
exchange_rate_usd_idr,0.0022149691241793333
High Price,0.0018678901949897408
Price Change 1 Day Percent,0.0015210705925710474
Dividend Indicated Yld - Gross,0.0012022405707587797
Low Price,0.0009348206909462099
Bid Price,0.0005195337658127144
cpi_index,0.0004800874895105766
inflation_rate,0.00013094659384694878
bi_rate,1.7848735054335856e-05
Ask Price,0.0
ihsg_return_1d,0.0
