feature,importance
Price Change 1 Day Percent,0.00561947044091842
ihsg_close,0.003368679891961317
Low Price,0.0031270287164564584
bi_rate,0.002324562836777964
Moving Average 20 Day,0.002080964103030664
Bid Price,0.0016689642189400438
Price to Book Ratio,0.001540910302477036
High Price,0.0015359964403614881
Price Earnings Ratio,0.0012451564970736716
ihsg_return_1d,0.0011979377294968198
Price to Sales Ratio,0.0011877980961192696
cpi_index,0.00054636507605513
Ask Price,0.00048168974656922196
Dividend Indicated Yld - Gross,4.879175879371761e-05
inflation_rate,0.0
exchange_rate_usd_idr,0.0
