feature,importance,model
t14_Price to Sales Ratio,0.09707215,xgb
t59_Ask Price,0.09563052,xgb
t49_Moving Average 20 Day,0.081098504,xgb
t00_Bid Price,0.050892964,xgb
t59_High Price,0.048028044,xgb
t55_Low Price,0.047970068,xgb
t59_Low Price,0.043784656,xgb
t59_Bid Price,0.042145904,xgb
t04_Bid Price,0.041020278,xgb
t01_Moving Average 20 Day,0.04017227,xgb
t58_Ask Price,0.035634205,xgb
t26_Bid Price,0.034862746,xgb
t07_Low Price,0.028560255,xgb
t27_Ask Price,0.022246297,xgb
t05_Ask Price,0.022127261,xgb
t55_Bid Price,0.018638471,xgb
t31_Ask Price,0.018533323,xgb
t02_Ask Price,0.016772578,xgb
t15_Low Price,0.015749475,xgb
t59_Price to Sales Ratio,0.013210545,xgb
t58_Bid Price,0.012457549,xgb
t19_Ask Price,0.012148419,xgb
t57_Ask Price,0.011546833,xgb
t52_Bid Price,0.011522269,xgb
t57_High Price,0.010217624,xgb
t52_Low Price,0.009827575,xgb
t01_Ask Price,0.0084677525,xgb
t17_Moving Average 20 Day,0.0080283135,xgb
t22_Low Price,0.0077978806,xgb
t45_High Price,0.00769145,xgb
t31_Moving Average 20 Day,0.0075097275,xgb
t09_Price to Sales Ratio,0.0073410985,xgb
t39_High Price,0.0068043196,xgb
t36_Moving Average 20 Day,0.0067374688,xgb
t16_Moving Average 20 Day,0.0066225426,xgb
t50_Low Price,0.006194719,xgb
t58_High Price,0.005752345,xgb
t32_High Price,0.0055953255,xgb
t03_Low Price,0.005010701,xgb
t32_Ask Price,0.004708346,xgb
t54_High Price,0.0046614674,xgb
t12_Moving Average 20 Day,0.004655289,xgb
t51_Low Price,0.0045473212,xgb
t31_Dividend Indicated Yld - Gross,0.0045356723,xgb
t32_Bid Price,0.0044032605,xgb
t08_Low Price,0.004046449,xgb
t25_Moving Average 20 Day,0.0039055077,xgb
t00_Low Price,0.003773637,xgb
t41_Moving Average 20 Day,0.0037730054,xgb
t59_Price Earnings Ratio,0.0037355325,xgb
t25_Ask Price,0.003719808,xgb
t33_High Price,0.0035972474,xgb
t15_Moving Average 20 Day,0.0035536725,xgb
t11_Moving Average 20 Day,0.003478578,xgb
t49_Bid Price,0.0034626804,xgb
t22_Moving Average 20 Day,0.0033441877,xgb
t19_Moving Average 20 Day,0.0033327953,xgb
t16_High Price,0.0032648204,xgb
t58_Price Earnings Ratio,0.0031224587,xgb
t56_Ask Price,0.0030601441,xgb
t49_Low Price,0.0030202754,xgb
t53_Bid Price,0.0030050694,xgb
t45_Ask Price,0.0029869662,xgb
t39_Ask Price,0.0029842833,xgb
t57_Price Earnings Ratio,0.0029306489,xgb
t42_Ask Price,0.002925722,xgb
t59_Price to Book Ratio,0.0028907084,xgb
