feature,importance
Price to Book Ratio,0.020569640749211734
Moving Average 20 Day,0.013181836177439721
Bid Price,0.008314233449830979
High Price,0.008011001839380109
Price to Sales Ratio,0.005988703464390709
Ask Price,0.0058633852517232295
Dividend Indicated Yld - Gross,0.0057213127613067625
Low Price,0.0038607921839381243
Price Earnings Ratio,0.003087745750478159
Price Change 1 Day Percent,0.0018055380205623803
