epoch,train_loss,val_loss,lr
1,0.3999675374304522,0.3395188839146585,0.0005
2,0.22303809641082653,0.2397073890084709,0.0005
3,0.17541943705210122,0.18525488265640253,0.0005
4,0.1461773906664182,0.1721900169735466,0.0005
5,0.12726006905771925,0.16374358859581825,0.0005
6,0.11252928215970275,0.17064386627057215,0.0005
7,0.10656769711484192,0.19409006570046877,0.0005
8,0.09791248819146532,0.18848179221709013,0.0005
9,0.09007451411430127,0.19732123127072562,0.0005
10,0.0887140082095259,0.19783360877514997,0.0005
11,0.08434055583237747,0.19338011970886818,0.0005
12,0.07943312994681806,0.27009401906342495,0.0005
13,0.07952442628508401,0.2603961280036917,0.0005
14,0.07550587743841192,0.2828865639674358,0.00025
15,0.07181750258771322,0.2326345574327838,0.00025
16,0.0680624702097481,0.28655447110985266,0.00025
17,0.06779342417915662,0.30509667129783363,0.00025
18,0.07041032052061463,0.30734086001947486,0.00025
19,0.06651696483988488,0.3181359258703974,0.00025
20,0.06930115265658252,0.3336076620436493,0.00025
21,0.06899969742289581,0.3664372125010946,0.00025
22,0.06393370780172528,0.3289850315291843,0.00025
23,0.06476195004892178,0.33479921696902987,0.000125
24,0.06406343050007325,0.3289946585129469,0.000125
25,0.06277831558899213,0.3405748622400777,0.000125
