feature,importance
Ask Price,0.004830627113234444
bi_rate,0.003929081912486787
exchange_rate_usd_idr,0.0034043066125983975
Moving Average 20 Day,0.0033088114858867692
Price to Sales Ratio,0.003261247072189759
inflation_rate,0.0030574202370674632
Price to Book Ratio,0.0030540231188448774
Price Earnings Ratio,0.0008749853796325618
cpi_index,0.0007845484352825831
Bid Price,0.0007432859059638132
High Price,0.0003835559333674601
Low Price,0.0
Dividend Indicated Yld - Gross,0.0
Price Change 1 Day Percent,0.0
ihsg_close,0.0
ihsg_return_1d,0.0
