epoch,train_loss,val_loss,lr,train_seconds,val_seconds,epoch_seconds
1,0.6266444848109317,0.28732318179312843,0.001,0.694536888000016,0.023305256999947233,0.7178720450000355
2,0.2697945290996182,0.2827103665936521,0.001,0.11219173699998919,0.010946902000000591,0.1231555390000949
3,0.22277933186100377,0.25602657295815595,0.001,0.11232290899999953,0.011280156999987412,0.12361156700001175
4,0.21499287122893931,0.25211881899159827,0.001,0.1131557310000062,0.011174015999927178,0.12433969799997158
5,0.19920294236752295,0.24345682515374154,0.001,0.11487872999998672,0.011026494000020648,0.12591493399997944
6,0.20063277421031803,0.24442701635660824,0.001,0.11700177399995937,0.011097954999968351,0.12810865799997373
7,0.18606711586530064,0.24084957393802406,0.001,0.11411234800004877,0.011170215999982247,0.12528945400003977
8,0.18589088593118935,0.23011488972843944,0.001,0.11269376500001727,0.011169256000016503,0.12387077199991836
9,0.1840093231329354,0.2329774932601513,0.001,0.11257532399997672,0.011336188000086622,0.1239198519999718
10,0.1869620470270034,0.23293400958770916,0.001,0.11196462400005203,0.011090565000017705,0.12306118900005458
11,0.17544838644056765,0.24255133734577464,0.001,0.11722100700001192,0.011170345999971687,0.12839948299995285
12,0.1752011522490491,0.24246519550437973,0.001,0.12241119999998773,0.01124744699995972,0.133667996999975
13,0.16836611712918914,0.24233932930342245,0.001,0.11889428500001031,0.01114351599994734,0.1300463499999296
14,0.16804116117270618,0.24600149729312995,0.001,0.1151912860000266,0.011510231999977805,0.12672571800010246
15,0.1677379093396621,0.2664942544101279,0.001,0.1151221650000025,0.011321417999965888,0.12645231400006196
16,0.1577815567079838,0.24437105363899178,0.001,0.11295833099995889,0.010963503999960267,0.1239298839999492
17,0.15466614239532034,0.2521435415897614,0.0005,0.11061601400001564,0.011003232999996726,0.12164190800001506
18,0.15108222526675058,0.25851976013544836,0.0005,0.11345845899995766,0.011084754999956203,0.12455068399992797
19,0.14907381927667981,0.2664396384935001,0.0005,0.11408722900000612,0.011696074000042245,0.1257917240000097
20,0.1563611819004927,0.26131686696778367,0.0005,0.11300742100002026,0.011141026000018428,0.12415570600001047
21,0.15025152584344256,0.268828174485749,0.0005,0.11121529199999713,0.01130723799997213,0.12253145099998619
22,0.14306376296559542,0.26491786956370295,0.0005,0.11193092400003479,0.011105834999966646,0.12304345900008684
23,0.1437060245155861,0.25230641194156833,0.0005,0.11064784399991368,0.010997343999974873,0.12165203699998983
24,0.14694345472747708,0.266358135220332,0.0005,0.11051897099991947,0.011257747999934509,0.12178785899993727
25,0.1407303711633101,0.27115872286972187,0.0005,0.11128859400002966,0.01104655400001775,0.12234021799997663
26,0.13924296951742582,0.2695601678394771,0.00025,0.1133288559999528,0.011478741000019,0.12483872699999665
27,0.1434866842136161,0.27260000336837104,0.00025,0.11444144400002187,0.011151315000006434,0.12560088899999755
28,0.13954268032718303,0.2743980999523665,0.00025,0.11382044399999813,0.011056754000037472,0.12488525799994932
