feature,importance
Moving Average 20 Day,0.00545228369360714
Price Earnings Ratio,0.005451617895407489
Ask Price,0.0037279980241509978
Price Change 1 Day Percent,0.0033083194441119548
Price to Sales Ratio,0.003270403485891096
Dividend Indicated Yld - Gross,0.003259158277981161
Price to Book Ratio,0.0029987746090018815
High Price,0.0027947542832881507
inflation_rate,0.0025458459180597057
cpi_index,0.002533812703941881
Low Price,0.0024063038661585783
bi_rate,0.002392792014446091
ihsg_close,0.002373884333137698
exchange_rate_usd_idr,0.0021281608426021214
Bid Price,0.0019295279711892504
ihsg_return_1d,0.0009647696057812296
