epoch,train_loss,val_loss,lr
1,0.3916536108567296,0.5057131903710621,0.001
2,0.24533957824057576,0.26032984868074077,0.001
3,0.20157166304981408,0.19558221108707793,0.001
4,0.16967147478706948,0.20982289800555,0.001
5,0.15170741329056386,0.17593557851297872,0.001
6,0.13485084418541216,0.16607071698962392,0.001
7,0.12427374314129566,0.1739572861116805,0.001
8,0.11458567349927827,0.16403633106004942,0.001
9,0.11011853261340049,0.16923729054160885,0.001
10,0.10418636267971394,0.16197954705267242,0.001
11,0.09657065680377372,0.17044048325651454,0.001
12,0.10015123812848949,0.1587433809618572,0.001
13,0.0935407138426244,0.16028592879677708,0.001
14,0.08962696206932855,0.15612421304612725,0.001
15,0.08601316418699038,0.15680472276635937,0.001
16,0.07900910303263681,0.1581079403246755,0.001
17,0.07906272822597121,0.15980955329669383,0.001
18,0.08231615034803268,0.16292532451780803,0.001
19,0.07773550386176742,0.1556020862920023,0.001
20,0.08068694907597744,0.1594240918303981,0.001
21,0.07457943459351858,0.16672378028189386,0.001
22,0.07442231421829552,0.14932439637767686,0.001
23,0.0726118856753927,0.16875574492908024,0.001
24,0.07375011011477439,0.15693190179782593,0.001
25,0.07204034057676151,0.162066038724009,0.001
26,0.06978584534378462,0.16813857354970524,0.001
27,0.07110068630894452,0.18266229487799265,0.001
28,0.06761247154098257,0.14974890465225096,0.001
29,0.06823595085024406,0.207422886069838,0.001
30,0.06509496085746314,0.1747103781897427,0.001
31,0.06528240832163014,0.19393085915864486,0.0005
32,0.06319409808057183,0.17922055603185177,0.0005
33,0.0617915163010252,0.1903020317529465,0.0005
34,0.06510441025525439,0.19088893458420858,0.0005
35,0.06600979405011327,0.17605950316904864,0.0005
36,0.06296680264682325,0.16414224175792752,0.0005
37,0.061428624706669946,0.17589993344181346,0.0005
38,0.05863267539810109,0.17934186933757543,0.0005
39,0.061082229018211365,0.19193215810613476,0.0005
40,0.06002167504427681,0.1985834528168876,0.00025
41,0.06075353836607335,0.19195036572732013,0.00025
42,0.05980919924794987,0.18563710378878046,0.00025
