epoch,train_loss,val_loss,lr,train_seconds,val_seconds,epoch_seconds
1,0.3645840642272785,0.3967983262105422,0.001,0.2841356489998361,0.0289702299999135,0.31311625499984075
2,0.21665032616011987,0.17975197048176142,0.001,0.2866073000000142,0.02921533400012777,0.31583312099996874
3,0.1889292604927521,0.165722730172264,0.001,0.28365268500010643,0.029108790999998746,0.3127710599999318
4,0.18516976538524832,0.27927391387365913,0.001,0.2836660490002032,0.029094490000034057,0.31277042900001106
5,0.18148682155916768,0.22816270179959722,0.001,0.28194353499998215,0.029174236000017117,0.31112665600016953
6,0.17744629250632393,0.17745080569407323,0.001,0.2786869960000331,0.028100630999915666,0.30679682799996044
7,0.17183628366412226,0.170223173631099,0.001,0.27795272900016244,0.02867204600011064,0.30663346500000443
8,0.17088450394223667,0.22331510022247866,0.001,0.2842059289998815,0.029010989999960657,0.31322567699999126
9,0.1664266268946364,0.17306738209613276,0.001,0.2856351340001311,0.029442778999964503,0.3150865170000543
10,0.17023913305933758,0.163897663806424,0.001,0.27985510400003477,0.02913888600005521,0.3090037439999378
11,0.16696324293972342,0.1858334479493139,0.001,0.28241626299995914,0.029141666999976223,0.31157004099986807
12,0.1653373954383703,0.1530314415415406,0.001,0.28255052300005445,0.028998128000012002,0.3115578370000094
13,0.15999882262881085,0.2732370857731168,0.001,0.28035995499999444,0.02778122099994107,0.30814986700011104
14,0.16930966895327346,0.1973688980360409,0.001,0.28240265099998396,0.027990098999907786,0.3104009170001518
15,0.15560131727794593,0.18559562604188362,0.001,0.28516778599987447,0.029059553000024607,0.31423590800000056
16,0.1670482905641679,0.2072178698503054,0.001,0.28507718799983195,0.029141069000161224,0.31422816400004194
17,0.16206270125177172,0.24187327848447787,0.001,0.284110549999923,0.028953418999890346,0.3130715309998777
18,0.15694182852690367,0.2296856472264359,0.001,0.28083618200003,0.02788946800001213,0.3087350600001173
19,0.16215501631673518,0.15937255798797786,0.001,0.2816174229999433,0.027871675999904255,0.309497538000187
20,0.1524092928055794,0.16377233142480427,0.001,0.2746221970000988,0.027859225999918635,0.3024899990000449
21,0.15569784328822167,0.1948130355153606,0.0005,0.281668480999997,0.02909235099991747,0.31079120200001853
22,0.14574502059742542,0.19764888870132552,0.0005,0.2824702240000079,0.029177903000118022,0.3116583000000901
23,0.15032173558588952,0.1969289148187304,0.0005,0.2859570770001483,0.029158997999957137,0.31512517500004833
24,0.1520505716750485,0.18605072410790235,0.0005,0.2872002289998363,0.02885455500017997,0.3160770169999978
25,0.142906453879717,0.19598845439357357,0.0005,0.2831960049998088,0.029152369000030376,0.31235802499986676
26,0.14524820027171925,0.20565192731388243,0.0005,0.2864091369999642,0.027826317000062772,0.31424328200000673
27,0.1524268056329433,0.20212978958249925,0.0005,0.28316155199991044,0.029038838000133183,0.3122083420000763
28,0.14784464149812643,0.1991091699172289,0.0005,0.2827853579999555,0.02907517300013751,0.3118692150001152
29,0.14333901268606972,0.18714745526825075,0.0005,0.28186832999995204,0.028702252999892153,0.31058011799996166
30,0.15452648955380618,0.18480582608209623,0.00025,0.27788123000004816,0.02867010499994649,0.30657975699978124
31,0.13892546229892308,0.20018422902325095,0.00025,0.2831536999999571,0.02819657999998526,0.31135926000001746
32,0.14249328693181385,0.20051051888154658,0.00025,0.27821983100011494,0.028834570000071835,0.3070641389999764
