trial,val_mae,params
1,416.5967637729832,"{""n_estimators"": 851, ""learning_rate"": 0.1, ""num_leaves"": 127, ""max_depth"": 8, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0}"
2,293.9713347436514,"{""n_estimators"": 1488, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 8, ""min_child_samples"": 10, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0}"
3,382.98754040776083,"{""n_estimators"": 1941, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 12, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}"
4,416.84432947235115,"{""n_estimators"": 967, ""learning_rate"": 0.1, ""num_leaves"": 31, ""max_depth"": 8, ""min_child_samples"": 40, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}"
5,309.1277101799685,"{""n_estimators"": 1674, ""learning_rate"": 0.08, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}"
6,423.5559552370323,"{""n_estimators"": 925, ""learning_rate"": 0.08, ""num_leaves"": 127, ""max_depth"": 8, ""min_child_samples"": 40, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}"
7,374.7469310175792,"{""n_estimators"": 974, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 20, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}"
8,370.2666170869365,"{""n_estimators"": 1763, ""learning_rate"": 0.03, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 60, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0}"
9,357.11886595659684,"{""n_estimators"": 1191, ""learning_rate"": 0.03, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 40, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}"
10,341.05849984657976,"{""n_estimators"": 1169, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 8, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}"
11,350.8992482459471,"{""n_estimators"": 1528, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 40, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}"
12,438.0648187772552,"{""n_estimators"": 1938, ""learning_rate"": 0.01, ""num_leaves"": 31, ""max_depth"": 8, ""min_child_samples"": 60, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}"
13,335.23381850093404,"{""n_estimators"": 333, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 12, ""min_child_samples"": 20, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}"
14,379.867209181005,"{""n_estimators"": 1776, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": 8, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}"
15,289.40298920238104,"{""n_estimators"": 1032, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": 12, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0}"
16,398.46899859991254,"{""n_estimators"": 313, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 20, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0}"
17,314.3406174911206,"{""n_estimators"": 1043, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": -1, ""min_child_samples"": 10, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}"
18,328.86869707098464,"{""n_estimators"": 545, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 10, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0}"
