feature,size
Low Price,39
Bid Price,31
Price Change 1 Day Percent,28
Price to Sales Ratio,28
High Price,25
Moving Average 20 Day,25
Price to Book Ratio,25
Price Earnings Ratio,20
Ask Price,17
Dividend Indicated Yld - Gross,14
cpi_index,10
exchange_rate_usd_idr,6
bi_rate,5
ihsg_close,5
inflation_rate,2
