feature,size
Low Price,22
Price to Sales Ratio,17
Bid Price,15
High Price,14
Moving Average 20 Day,13
Price Change 1 Day Percent,12
Price Earnings Ratio,12
Price to Book Ratio,10
Ask Price,6
cpi_index,5
Dividend Indicated Yld - Gross,4
bi_rate,3
ihsg_close,3
exchange_rate_usd_idr,2
inflation_rate,2
