feature,size
Low Price,17
Bid Price,16
Price Change 1 Day Percent,16
Price to Book Ratio,15
Moving Average 20 Day,12
Ask Price,11
High Price,11
Price to Sales Ratio,11
Dividend Indicated Yld - Gross,10
Price Earnings Ratio,8
cpi_index,5
exchange_rate_usd_idr,4
bi_rate,2
ihsg_close,2
