feature,size
Price Change 1 Day Percent,19
Low Price,18
Price to Sales Ratio,13
Ask Price,12
Price Earnings Ratio,10
cpi_index,10
Bid Price,9
High Price,9
Price to Book Ratio,9
Moving Average 20 Day,8
exchange_rate_usd_idr,6
Dividend Indicated Yld - Gross,5
bi_rate,5
ihsg_close,5
inflation_rate,2
