feature,importance
ihsg_close,1314748201422.9204
Dividend Indicated Yld - Gross,1314748201422.9194
Moving Average 20 Day,0.005029347288544154
exchange_rate_usd_idr,0.0034901613127710164
Low Price,0.0033540797562821734
bi_rate,0.0029682689395819574
Price Change 1 Day Percent,0.0029090125976859666
Bid Price,0.002672449524125124
cpi_index,0.0026408269585942576
Price to Book Ratio,0.00257745959711005
Price Earnings Ratio,0.0024863333750558625
Price to Sales Ratio,0.0024424505005188907
Ask Price,0.0021302957757406483
High Price,0.002060189677829838
inflation_rate,0.0019881225589701615
ihsg_return_1d,0.0014269273290672287
