feature,importance,model
t59_Ask Price,0.09908245,xgb
t04_Bid Price,0.08589505,xgb
t59_Bid Price,0.06247608,xgb
t14_Price to Sales Ratio,0.059027318,xgb
t17_Low Price,0.03844345,xgb
t59_Low Price,0.03717144,xgb
t59_High Price,0.035971906,xgb
t19_Ask Price,0.03575076,xgb
t49_Moving Average 20 Day,0.028532771,xgb
t13_Ask Price,0.027967056,xgb
t00_Moving Average 20 Day,0.024665855,xgb
t55_Bid Price,0.019434188,xgb
t55_Low Price,0.01867818,xgb
t13_Bid Price,0.018531008,xgb
t44_Moving Average 20 Day,0.01805613,xgb
t58_Ask Price,0.017526187,xgb
t16_Low Price,0.01700604,xgb
t27_Ask Price,0.013486068,xgb
t58_Bid Price,0.012857418,xgb
t05_Low Price,0.011927649,xgb
t00_Ask Price,0.010902129,xgb
t01_Bid Price,0.010616236,xgb
t23_Low Price,0.010208489,xgb
t00_Low Price,0.009687551,xgb
t59_Price to Sales Ratio,0.009642352,xgb
t35_Moving Average 20 Day,0.009225817,xgb
t59_Price Earnings Ratio,0.0088072475,xgb
t58_High Price,0.007824905,xgb
t38_Low Price,0.007685909,xgb
t38_Bid Price,0.007598655,xgb
t14_Ask Price,0.0074986676,xgb
t16_Ask Price,0.0074847657,xgb
t34_Moving Average 20 Day,0.0069851903,xgb
t07_Moving Average 20 Day,0.006929457,xgb
t05_Ask Price,0.0068408316,xgb
t52_Bid Price,0.006724717,xgb
t04_Ask Price,0.006713084,xgb
t26_Bid Price,0.00627379,xgb
t25_Ask Price,0.0058694864,xgb
t26_Low Price,0.0058640563,xgb
t27_Bid Price,0.005846525,xgb
t17_Moving Average 20 Day,0.005716067,xgb
t16_High Price,0.0054106,xgb
t52_Low Price,0.0053996523,xgb
t19_Price to Sales Ratio,0.00523269,xgb
t15_Price to Sales Ratio,0.005016015,xgb
t51_Low Price,0.0049378364,xgb
t56_Moving Average 20 Day,0.004734965,xgb
t33_Moving Average 20 Day,0.0043886914,xgb
t03_Ask Price,0.004232281,xgb
t50_Low Price,0.004060716,xgb
t18_Moving Average 20 Day,0.003981606,xgb
t53_Low Price,0.003974746,xgb
t02_Low Price,0.0039702305,xgb
t15_Moving Average 20 Day,0.003909154,xgb
t21_High Price,0.003881112,xgb
t57_Bid Price,0.0038801401,xgb
t22_Moving Average 20 Day,0.0038478032,xgb
t56_Low Price,0.0037913765,xgb
t48_Price to Sales Ratio,0.0037377132,xgb
t16_Moving Average 20 Day,0.0036863277,xgb
t53_Bid Price,0.0036696394,xgb
t48_High Price,0.0036093323,xgb
t04_High Price,0.0035884117,xgb
t53_Ask Price,0.0035676658,xgb
t58_Low Price,0.003491057,xgb
t28_Bid Price,0.0034853395,xgb
t33_High Price,0.0034467995,xgb
t33_Low Price,0.0034158123,xgb
t50_Ask Price,0.0034111745,xgb
t49_Ask Price,0.003390918,xgb
t06_Low Price,0.0033382396,xgb
t01_Ask Price,0.0032945066,xgb
t40_Low Price,0.0032941587,xgb
t02_Ask Price,0.0032941487,xgb
t55_Ask Price,0.0032879119,xgb
t54_Low Price,0.003258039,xgb
t45_Ask Price,0.0032293238,xgb
t32_High Price,0.003183569,xgb
t29_Moving Average 20 Day,0.0031197655,xgb
t57_Ask Price,0.0030614876,xgb
t57_Price to Sales Ratio,0.003012476,xgb
t43_Ask Price,0.0030049381,xgb
t35_Bid Price,0.0029687234,xgb
