feature,importance
Price Earnings Ratio,0.0037753205085719003
Moving Average 20 Day,0.0027953719095853663
Low Price,0.0027815241214553324
Price to Book Ratio,0.0024124909493267047
ihsg_close,0.0023700793708726986
High Price,0.0022650328100081536
cpi_index,0.002208400173703322
Bid Price,0.0019809803757191427
exchange_rate_usd_idr,0.0018609529587184544
ihsg_return_1d,0.0017527705324516746
bi_rate,0.0017414007593594594
Price Change 1 Day Percent,0.0015332359196804134
Price to Sales Ratio,0.0014211430795132937
Ask Price,0.001301055871286136
inflation_rate,0.0011590625984360832
Dividend Indicated Yld - Gross,0.0009408659417708195
