feature,importance,model
t59_Bid Price,0.24177964,xgb
t59_Ask Price,0.19115524,xgb
t59_High Price,0.03667558,xgb
t59_Low Price,0.027941352,xgb
t59_Price to Sales Ratio,0.0121030845,xgb
t58_Ask Price,0.002950521,xgb
t58_Bid Price,0.0029171286,xgb
t56_Ask Price,0.0020912862,xgb
t58_Low Price,0.0020807444,xgb
t47_Moving Average 20 Day,0.001824605,xgb
t57_High Price,0.001770231,xgb
t58_High Price,0.0017513065,xgb
t57_Price to Sales Ratio,0.0015632851,xgb
t57_Ask Price,0.0012149707,xgb
t56_High Price,0.0011399417,xgb
t59_Price to Book Ratio,0.0010654613,xgb
t55_Bid Price,0.00093622453,xgb
t57_Bid Price,0.0008367213,xgb
t54_Low Price,0.00081237796,xgb
t52_High Price,0.000762413,xgb
t57_Low Price,0.0007577821,xgb
t53_Ask Price,0.0006518724,xgb
t46_Moving Average 20 Day,0.0006071766,xgb
t58_Price to Sales Ratio,0.000538357,xgb
t54_Ask Price,0.00052634266,xgb
t32_Moving Average 20 Day,0.0005170471,xgb
t51_Price Earnings Ratio,0.0005123599,xgb
t20_High Price,0.0005097558,xgb
t51_Moving Average 20 Day,0.00040723142,xgb
t53_Low Price,0.00035076778,xgb
t48_Moving Average 20 Day,0.00033837763,xgb
t19_High Price,0.00032222486,xgb
t56_Price Earnings Ratio,0.00031491442,xgb
t52_Ask Price,0.00030703176,xgb
t55_Ask Price,0.00030180073,xgb
t56_Bid Price,0.00029141037,xgb
t18_High Price,0.0002690173,xgb
t49_Moving Average 20 Day,0.00026322913,xgb
t50_Moving Average 20 Day,0.00026002456,xgb
t41_Ask Price,0.0002507129,xgb
t33_Moving Average 20 Day,0.00023232569,xgb
t36_Price to Sales Ratio,0.00022107616,xgb
t55_Price to Sales Ratio,0.00021313604,xgb
t21_Bid Price,0.00019066043,xgb
t53_Price Earnings Ratio,0.00016535296,xgb
t55_Low Price,0.00016454254,xgb
t54_Bid Price,0.00015144951,xgb
t58_Price Earnings Ratio,0.00014803922,xgb
t29_Ask Price,0.00013633206,xgb
t30_Moving Average 20 Day,0.00013303141,xgb
t52_Moving Average 20 Day,0.0001325979,xgb
t21_High Price,0.00012906101,xgb
t15_High Price,9.359548e-05,xgb
t29_Moving Average 20 Day,9.300431e-05,xgb
t32_Price Earnings Ratio,8.904561e-05,xgb
t33_Price Earnings Ratio,8.030977e-05,xgb
t59_Price Earnings Ratio,7.115938e-05,xgb
t17_Low Price,7.070289e-05,xgb
t51_Low Price,6.6910776e-05,xgb
t52_Price Earnings Ratio,6.609738e-05,xgb
t56_Low Price,6.064656e-05,xgb
t59_Dividend Indicated Yld - Gross,0.0,xgb
t56_Dividend Indicated Yld - Gross,0.0,xgb
t02_Low Price,0.0,xgb
t59_Moving Average 20 Day,0.0,xgb
t57_Price Earnings Ratio,0.0,xgb
t57_Price to Book Ratio,0.0,xgb
t57_Moving Average 20 Day,0.0,xgb
t56_Price Change 1 Day Percent,0.0,xgb
t00_High Price,0.0,xgb
t56_Price to Book Ratio,0.0,xgb
t56_Price to Sales Ratio,0.0,xgb
t56_Moving Average 20 Day,0.0,xgb
t59_Price Change 1 Day Percent,0.0,xgb
t07_Dividend Indicated Yld - Gross,0.0,xgb
t07_Price Earnings Ratio,0.0,xgb
t07_Price to Book Ratio,0.0,xgb
t07_Price to Sales Ratio,0.0,xgb
t07_Moving Average 20 Day,0.0,xgb
t07_Low Price,0.0,xgb
t07_High Price,0.0,xgb
t07_Bid Price,0.0,xgb
t07_Ask Price,0.0,xgb
t06_Price Change 1 Day Percent,0.0,xgb
t06_Dividend Indicated Yld - Gross,0.0,xgb
t06_Price Earnings Ratio,0.0,xgb
t06_Price to Book Ratio,0.0,xgb
t58_Price Change 1 Day Percent,0.0,xgb
t58_Dividend Indicated Yld - Gross,0.0,xgb
t58_Price to Book Ratio,0.0,xgb
t09_Moving Average 20 Day,0.0,xgb
t09_Low Price,0.0,xgb
t09_High Price,0.0,xgb
t09_Bid Price,0.0,xgb
t09_Ask Price,0.0,xgb
t08_Price Change 1 Day Percent,0.0,xgb
t08_Dividend Indicated Yld - Gross,0.0,xgb
t08_Price Earnings Ratio,0.0,xgb
t08_Price to Book Ratio,0.0,xgb
t08_Price to Sales Ratio,0.0,xgb
t08_Moving Average 20 Day,0.0,xgb
t08_Low Price,0.0,xgb
t08_High Price,0.0,xgb
t08_Bid Price,0.0,xgb
t08_Ask Price,0.0,xgb
t07_Price Change 1 Day Percent,0.0,xgb
t11_Ask Price,0.0,xgb
t10_Price Change 1 Day Percent,0.0,xgb
t10_Dividend Indicated Yld - Gross,0.0,xgb
t10_Price Earnings Ratio,0.0,xgb
t10_Price to Book Ratio,0.0,xgb
t10_Price to Sales Ratio,0.0,xgb
t10_Moving Average 20 Day,0.0,xgb
t10_Low Price,0.0,xgb
t10_High Price,0.0,xgb
t10_Bid Price,0.0,xgb
t10_Ask Price,0.0,xgb
t09_Price Change 1 Day Percent,0.0,xgb
t09_Dividend Indicated Yld - Gross,0.0,xgb
t09_Price Earnings Ratio,0.0,xgb
t09_Price to Book Ratio,0.0,xgb
t09_Price to Sales Ratio,0.0,xgb
t12_Price to Book Ratio,0.0,xgb
t12_Price to Sales Ratio,0.0,xgb
t12_Moving Average 20 Day,0.0,xgb
t12_Low Price,0.0,xgb
t12_High Price,0.0,xgb
t12_Bid Price,0.0,xgb
t12_Ask Price,0.0,xgb
t11_Price Change 1 Day Percent,0.0,xgb
t11_Dividend Indicated Yld - Gross,0.0,xgb
t11_Price Earnings Ratio,0.0,xgb
t11_Price to Book Ratio,0.0,xgb
t11_Price to Sales Ratio,0.0,xgb
t11_Moving Average 20 Day,0.0,xgb
t11_Low Price,0.0,xgb
t11_High Price,0.0,xgb
t11_Bid Price,0.0,xgb
t14_High Price,0.0,xgb
t14_Bid Price,0.0,xgb
t14_Ask Price,0.0,xgb
t13_Price Change 1 Day Percent,0.0,xgb
t13_Dividend Indicated Yld - Gross,0.0,xgb
t13_Price Earnings Ratio,0.0,xgb
t13_Price to Book Ratio,0.0,xgb
t13_Price to Sales Ratio,0.0,xgb
t13_Moving Average 20 Day,0.0,xgb
t13_Low Price,0.0,xgb
t13_High Price,0.0,xgb
t13_Bid Price,0.0,xgb
t13_Ask Price,0.0,xgb
t12_Price Change 1 Day Percent,0.0,xgb
t12_Dividend Indicated Yld - Gross,0.0,xgb
t12_Price Earnings Ratio,0.0,xgb
t15_Price Change 1 Day Percent,0.0,xgb
t15_Dividend Indicated Yld - Gross,0.0,xgb
t15_Price Earnings Ratio,0.0,xgb
t15_Price to Book Ratio,0.0,xgb
t15_Price to Sales Ratio,0.0,xgb
t15_Moving Average 20 Day,0.0,xgb
t15_Low Price,0.0,xgb
t15_Bid Price,0.0,xgb
t15_Ask Price,0.0,xgb
t14_Price Change 1 Day Percent,0.0,xgb
t14_Dividend Indicated Yld - Gross,0.0,xgb
t14_Price Earnings Ratio,0.0,xgb
t14_Price to Book Ratio,0.0,xgb
t14_Price to Sales Ratio,0.0,xgb
t14_Moving Average 20 Day,0.0,xgb
t14_Low Price,0.0,xgb
t17_Price to Sales Ratio,0.0,xgb
t17_Moving Average 20 Day,0.0,xgb
t17_High Price,0.0,xgb
t17_Bid Price,0.0,xgb
t17_Ask Price,0.0,xgb
t16_Price Change 1 Day Percent,0.0,xgb
t16_Dividend Indicated Yld - Gross,0.0,xgb
t16_Price Earnings Ratio,0.0,xgb
t16_Price to Book Ratio,0.0,xgb
t16_Price to Sales Ratio,0.0,xgb
t16_Moving Average 20 Day,0.0,xgb
t16_Low Price,0.0,xgb
t16_High Price,0.0,xgb
t16_Bid Price,0.0,xgb
t16_Ask Price,0.0,xgb
t19_Low Price,0.0,xgb
t19_Bid Price,0.0,xgb
t19_Ask Price,0.0,xgb
t18_Price Change 1 Day Percent,0.0,xgb
t18_Dividend Indicated Yld - Gross,0.0,xgb
t18_Price Earnings Ratio,0.0,xgb
t18_Price to Book Ratio,0.0,xgb
t18_Price to Sales Ratio,0.0,xgb
t18_Moving Average 20 Day,0.0,xgb
t18_Low Price,0.0,xgb
t18_Bid Price,0.0,xgb
t18_Ask Price,0.0,xgb
t17_Price Change 1 Day Percent,0.0,xgb
t17_Dividend Indicated Yld - Gross,0.0,xgb
t17_Price Earnings Ratio,0.0,xgb
t17_Price to Book Ratio,0.0,xgb
t21_Ask Price,0.0,xgb
t20_Price Change 1 Day Percent,0.0,xgb
t20_Dividend Indicated Yld - Gross,0.0,xgb
t20_Price Earnings Ratio,0.0,xgb
t20_Price to Book Ratio,0.0,xgb
t20_Price to Sales Ratio,0.0,xgb
t20_Moving Average 20 Day,0.0,xgb
t20_Low Price,0.0,xgb
t20_Bid Price,0.0,xgb
t20_Ask Price,0.0,xgb
t19_Price Change 1 Day Percent,0.0,xgb
t19_Dividend Indicated Yld - Gross,0.0,xgb
t19_Price Earnings Ratio,0.0,xgb
t19_Price to Book Ratio,0.0,xgb
t19_Price to Sales Ratio,0.0,xgb
t19_Moving Average 20 Day,0.0,xgb
t22_Dividend Indicated Yld - Gross,0.0,xgb
t22_Price Earnings Ratio,0.0,xgb
t22_Price to Book Ratio,0.0,xgb
t22_Price to Sales Ratio,0.0,xgb
t22_Moving Average 20 Day,0.0,xgb
t22_Low Price,0.0,xgb
t22_High Price,0.0,xgb
t22_Bid Price,0.0,xgb
t22_Ask Price,0.0,xgb
t21_Price Change 1 Day Percent,0.0,xgb
t21_Dividend Indicated Yld - Gross,0.0,xgb
t21_Price Earnings Ratio,0.0,xgb
t21_Price to Book Ratio,0.0,xgb
