feature,importance
Bid Price,0.010110471465547255
cpi_index,0.008736852066968347
Price Earnings Ratio,0.008543233846035324
Price to Book Ratio,0.0050526255588245585
ihsg_return_1d,0.004856017468652376
Low Price,0.004715423157700058
High Price,0.003329230063605967
ihsg_close,0.002534906902113569
Moving Average 20 Day,0.0013362510750691075
Price to Sales Ratio,0.0013110908704026748
exchange_rate_usd_idr,0.0011311827524638695
Dividend Indicated Yld - Gross,0.0008637183423464507
Ask Price,0.0005208333333333333
Price Change 1 Day Percent,0.00013660681433975603
bi_rate,3.436203890790542e-05
inflation_rate,0.0
