feature,importance
Price to Sales Ratio,0.0018849818410210167
Price Change 1 Day Percent,0.001519334454744901
High Price,0.001456513666075513
Ask Price,0.001421012639834554
inflation_rate,0.001373602665200126
Low Price,0.0013155656623862059
Moving Average 20 Day,0.0012288120747097817
Price to Book Ratio,0.0010772009651294073
bi_rate,0.0010611803835507006
Dividend Indicated Yld - Gross,0.0009802576264983064
Bid Price,0.0008855730377984227
ihsg_close,0.0008777973021839025
ihsg_return_1d,0.0008684265211037073
cpi_index,0.0007283603745257538
exchange_rate_usd_idr,0.0005228307826933666
Price Earnings Ratio,0.0004244222125888932
