feature,importance
Price to Book Ratio,0.0063170856653457655
Ask Price,0.005842027624991409
Price Earnings Ratio,0.0041864826667329475
Price to Sales Ratio,0.004177255767567589
bi_rate,0.004063623351976276
exchange_rate_usd_idr,0.0035536295286932246
ihsg_close,0.0032944493008674035
Price Change 1 Day Percent,0.0024986537367415905
High Price,0.002475026582154291
Bid Price,0.0023423284830641888
Moving Average 20 Day,0.002313068313690435
Dividend Indicated Yld - Gross,0.0010595303282672018
inflation_rate,5.274658906273475e-05
Low Price,0.0
cpi_index,0.0
ihsg_return_1d,0.0
