epoch,train_loss,val_loss,lr,train_seconds,val_seconds,epoch_seconds
1,0.9104671724380985,0.47242753555029976,0.0001,0.21504303400001845,0.019277853999938088,0.23432760700006838
2,0.4982276937440305,0.18083299184109503,0.0001,0.21706170700008443,0.020225088999950458,0.23729445599997234
3,0.2747799217273685,0.16249925155618114,0.0001,0.2173575700001038,0.019703123999988748,0.2370672239999294
4,0.24497017796321582,0.14205568317228404,0.0001,0.21454634900010205,0.019354496999994808,0.23390805700000783
5,0.23271781005312464,0.1418898913896445,0.0001,0.2169510310000078,0.019703233999962322,0.23666090500000792
6,0.2227804392683036,0.13720365509929217,0.0001,0.2158092580000357,0.019127256999809106,0.2349444559999938
7,0.21350453382751847,0.13752568797110679,0.0001,0.21461248300010993,0.018938988000172685,0.2335589010001513
8,0.22251050532077804,0.13553386660930994,0.0001,0.21423469800015482,0.01931649599987395,0.23355713399996603
9,0.21954963115381085,0.13445649177947522,0.0001,0.21277695100002347,0.018985700000030192,0.231769082000028
10,0.21016403611842877,0.12558261305962132,0.0001,0.2088953909999418,0.01900913200006471,0.22791124299988041
11,0.20925874641719258,0.12846157566963376,0.0001,0.2116819799998666,0.01964830199995049,0.23133724200010874
12,0.21486638157384796,0.1285320706665516,0.0001,0.21308668200003922,0.019225461999894833,0.2323184140000194
13,0.2052281569943206,0.13117543847185054,0.0001,0.21278559699999278,0.019803768999963722,0.2325951760001317
14,0.20969938186120815,0.12602133990758227,0.0001,0.2134060259998023,0.019651971000030244,0.23306452800011357
15,0.2005113071651869,0.12334127665555977,0.0001,0.2152844830000049,0.019661742000153026,0.23495327499995255
16,0.2091354372039918,0.12095022051310761,0.0001,0.21621675599999435,0.01931662500010134,0.23554005300002245
17,0.2069872793010486,0.11748319081441089,0.0001,0.21283670100001473,0.01916343900006723,0.2320063909999135
18,0.19835012266712804,0.1188619679408821,0.0001,0.21864524100010385,0.019445302000121956,0.23809709300007853
19,0.21194306490775933,0.11756375879657158,0.0001,0.2190182280000954,0.01961439000001519,0.2386387179999474
20,0.19916485994520153,0.11803531859478195,0.0001,0.21308733299997584,0.01980502800006434,0.23289916199996696
21,0.2060211963604428,0.12156720868461615,0.0001,0.21295910699996057,0.01923288200009665,0.23219805899998391
22,0.2019771822250872,0.11967121708122166,0.0001,0.2145943640000496,0.019679532000054678,0.23427963499989346
23,0.19920655239012933,0.12038667961555623,0.0001,0.21492896900008418,0.019598638999923423,0.2345344779998868
24,0.20296088375925592,0.11825450620069093,0.0001,0.21504284399998141,0.018951419000131864,0.23400027299999238
25,0.20803153625953155,0.1214231226489052,0.0001,0.21317509699997572,0.019978876999857675,0.23316068400004042
26,0.20347459692254288,0.11604908261543666,0.0001,0.2177310080001007,0.019113217000040095,0.2368497549998665
27,0.21433164071705607,0.11873962905579236,0.0001,0.2149182779999137,0.02012435300002835,0.23505018200012273
28,0.19628383135389685,0.11731941397963982,0.0001,0.2194035470001836,0.020023388000026898,0.2394330859999627
29,0.20236406232293788,0.11574816006932642,0.0001,0.2157941989999017,0.019133857000042553,0.2349344360000032
30,0.1924361351249893,0.12074385161374833,0.0001,0.21754276000001482,0.020026179000069533,0.23757464899995284
31,0.2045712152796407,0.11532503842769108,0.0001,0.21171133000007103,0.019253302999914013,0.23097057300014967
32,0.20595201159890836,0.11721267875084232,0.0001,0.2115867340000932,0.019214900999941165,0.2308088449999559
33,0.20061315037443647,0.11723753207717047,0.0001,0.21425737699996716,0.018965549000085957,0.2332295469998371
34,0.20088076123627283,0.11925877859959236,0.0001,0.21428197899990664,0.018688926999857358,0.2329769949999445
35,0.2000433283040173,0.11791007780841181,0.0001,0.20676737999997385,0.018958768999937092,0.22573207899995396
36,0.19343259240564054,0.11633515946723365,0.0001,0.21456966199980343,0.019522155000004204,0.23409840699991946
37,0.19459456890073729,0.11874318339955278,0.0001,0.21364597899992077,0.019303284999978132,0.23295634400005838
38,0.2011038506116491,0.11713739550544387,0.0001,0.21790107899983013,0.01939888000015344,0.23730656900011127
39,0.20312825682769967,0.11794220373937578,0.0001,0.21434855400002562,0.01909955600012836,0.2334556620000967
40,0.20556495734440383,0.11493288282747868,0.0001,0.21511708999992152,0.01974646600001506,0.23486937699999544
41,0.19370029951081907,0.11419184038324373,0.0001,0.21455513399996562,0.019498504000011962,0.23406005900005766
42,0.1942817578072189,0.11383218959078088,0.0001,0.21345648100009385,0.01914245799980563,0.23260550999998486
43,0.19142566433303246,0.11306920413596508,0.0001,0.2160208089999287,0.019789317999993727,0.2358169369999814
44,0.195535127717107,0.11097761138943664,0.0001,0.21595313600005284,0.019172869999920295,0.2351326960001643
45,0.2053538270321371,0.11111138181409219,0.0001,0.21464511600015612,0.019375058999912653,0.2340271150001172
46,0.20921085904148745,0.11210282067041019,0.0001,0.21364490799987834,0.019319555000038235,0.23297187499997563
47,0.20596460201193356,0.10959199662721936,0.0001,0.2099368350000077,0.019048403000169856,0.2289928879999934
48,0.1940124630500766,0.11026053497511329,0.0001,0.2098323889999847,0.019144068000059633,0.2289834170001086
49,0.20405009541940947,0.1109354280039564,0.0001,0.20974461600008,0.019043222999926,0.22879390899993268
50,0.195529628633171,0.10902105534062796,0.0001,0.21422523399996862,0.019729904999849168,0.23396159799995075
