epoch,train_loss,val_loss,lr,train_seconds,val_seconds,epoch_seconds
1,0.4348326128016236,0.32475560585727226,0.001,0.8757150320000164,0.019760115000053702,0.8954953070001466
2,0.25867359040031296,0.38693614891081146,0.001,0.10067734299991571,0.009844025999882433,0.11053533899985268
3,0.22401364037640206,0.36868614034774977,0.001,0.09857286500005102,0.00975818500000969,0.10833827000010388
4,0.22616044937709753,0.34820886876755386,0.001,0.1048202179999862,0.009974439999950846,0.11480180800003836
5,0.22002790262622218,0.32518805674600715,0.001,0.10460222200003955,0.010035930999947595,0.11464446400009365
6,0.21274549873499032,0.30513618796160724,0.001,0.10225020199982282,0.009939067999994222,0.11219669000001886
7,0.20011170675250364,0.27719112379706545,0.001,0.10228303300004882,0.009779023999954006,0.11206915699995079
8,0.19451706787591339,0.2649152573449906,0.001,0.09802902199999153,0.009772965000138356,0.1078087159999086
9,0.20494226169201635,0.2795488777763638,0.001,0.09767798200005018,0.009814755999968838,0.10749872799988225
10,0.20678379276106434,0.2826592054886696,0.001,0.10278070600020328,0.009802996000189523,0.11259013099993354
11,0.2056444339000196,0.26162048094061424,0.001,0.09932277600000816,0.009799234999945838,0.10912831199993889
12,0.2003053961475263,0.2548448914067173,0.001,0.09867839100002129,0.009869377000086388,0.10855496800013498
13,0.19134246183552622,0.2381469294741437,0.001,0.1047256679999009,0.010009261000050174,0.11474263900004189
14,0.19228915724916698,0.24813275980504798,0.001,0.11473235900007239,0.009867906999943443,0.12460772600002201
15,0.190185882273968,0.24589048093293375,0.001,0.10131987899990236,0.010725520000050892,0.11205218899999636
16,0.19851050751824534,0.22820274597837098,0.001,0.09999006499992902,0.009779115000128513,0.10977567999998428
17,0.19488691872379685,0.25695176061355707,0.001,0.09797783199996957,0.009773564999932205,0.10775789700005589
18,0.18618730107943218,0.2403485726712745,0.001,0.09771296600001733,0.009797345000151836,0.10751639099999011
19,0.20224733377229356,0.2036991212820951,0.001,0.09773081500020453,0.009729113000048528,0.10746558899995762
20,0.1887320164497608,0.19640981636958801,0.001,0.09763974299994516,0.00977305400010664,0.10741906699990977
21,0.19269686595513402,0.18100283241077458,0.001,0.10049226599994654,0.010006820999933552,0.11050558599981741
22,0.18366266271119477,0.2031891087638887,0.001,0.10231078300012086,0.009733794000112539,0.11205206700014969
23,0.18249647934590615,0.2105698725490859,0.001,0.09989701100016646,0.00971693199994661,0.10962035400007153
24,0.18602183157825128,0.22019985971195158,0.001,0.10629139699994994,0.010054082000124254,0.11635196900010669
25,0.18434409142395075,0.2059934442311456,0.001,0.09926647400016009,0.009701883000161615,0.10897519699983604
26,0.1837199590325783,0.21543305596480003,0.001,0.09868931899995914,0.009751313999913691,0.1084470829998736
27,0.1788746887958178,0.22150346912912555,0.001,0.09815415500020208,0.009686312999974689,0.10784573799992359
28,0.17957938931962494,0.21913418974423465,0.001,0.09840925200001038,0.009688792000133617,0.10810340499983795
29,0.17900296323615592,0.21674663517928067,0.001,0.09758352000017112,0.009722083000042403,0.10731118300009257
30,0.18512562909647556,0.20145820379951895,0.0005,0.09783760799996344,0.010001650000049267,0.10785979899992526
31,0.18486203526724196,0.2066620176870784,0.0005,0.09869116000004396,0.00967030199990404,0.10836773200003336
32,0.1744590513274661,0.21112550003128452,0.0005,0.09813049499985027,0.009709773000167843,0.10784591800006638
33,0.17170358636686878,0.2135883757805491,0.0005,0.09829446999992797,0.009711292000019967,0.10801157300011255
34,0.18018494325299417,0.20736685730430074,0.0005,0.09762441199995919,0.00967907200015361,0.1073093439999866
35,0.17808836722032143,0.20716906239936403,0.0005,0.09816173599983813,0.009841396000183522,0.10801021199995375
36,0.18659450499387625,0.2025931898877893,0.0005,0.098541915999931,0.009755354000162697,0.10830385000008391
37,0.18144951119858732,0.21084841084612277,0.0005,0.09832878099996378,0.009721512999931292,0.10805670399986411
38,0.17314872780153828,0.21300206547016864,0.0005,0.09884712399980344,0.009718482999915068,0.10857128699990426
39,0.18611039159332124,0.19976004008160328,0.00025,0.09866673999999875,0.009827966000102606,0.10851287600007709
40,0.1722785894161484,0.2045787161949909,0.00025,0.09986779099995147,0.009737194000081217,0.10961234499995953
41,0.17443689406986304,0.20278575326075088,0.00025,0.10015180800019152,0.01002561100017374,0.11018476999993254
