feature,importance
exchange_rate_usd_idr,0.0070370657291884235
cpi_index,0.006188780034426599
Dividend Indicated Yld - Gross,0.006171027881403765
inflation_rate,0.003221441801482189
ihsg_return_1d,0.002789738056405138
Ask Price,0.0025861896690912564
Bid Price,0.002284747676458208
Moving Average 20 Day,0.0017975544091314072
ihsg_close,0.0017599827008477093
High Price,0.0017180309572722762
Price to Sales Ratio,0.0015904994468049455
Price Change 1 Day Percent,0.0014387953153345713
Low Price,0.0007921408667849998
Price to Book Ratio,0.0004520424292422822
Price Earnings Ratio,0.0
bi_rate,0.0
