feature,importance
Price to Book Ratio,0.001957466651398758
Moving Average 20 Day,0.0014898410026416994
Ask Price,0.0009802020981420619
cpi_index,0.0009087304644812788
Bid Price,0.0008976471651718031
High Price,0.000823487278186029
Price to Sales Ratio,0.0008173627979952486
ihsg_close,0.0008040475263019999
exchange_rate_usd_idr,0.0007823747885102148
bi_rate,0.000727430194639037
ihsg_return_1d,0.0006912573268669528
Price Earnings Ratio,0.0006603690983472947
Price Change 1 Day Percent,0.0006233064425426513
inflation_rate,0.0006169431555602296
Dividend Indicated Yld - Gross,0.0006056810792293506
Low Price,0.0005826930989844646
