epoch,train_loss,val_loss,lr
1,0.31027423812603866,0.256282532548571,0.001
2,0.17287041226595534,0.1980592150128249,0.001
3,0.15771597013358146,0.16166514839047874,0.001
4,0.14516782231335143,0.1647421587345414,0.001
5,0.13164761183936963,0.16063235666264186,0.001
6,0.12902686057552215,0.16494110741572224,0.001
7,0.1230979553473893,0.19585639582230494,0.001
8,0.11480654411845737,0.1884389312933514,0.001
9,0.11094829173605075,0.17567426443864137,0.001
10,0.106381416240687,0.1666207178072496,0.001
11,0.10412979524409044,0.13171974346389026,0.001
12,0.10318157709200322,0.15206078365271464,0.001
13,0.1032480110404312,0.1377248987294994,0.001
14,0.09964518996763401,0.15671389246042514,0.001
15,0.0987935118884596,0.12017052721379798,0.001
16,0.10104286462923105,0.1322714367225801,0.001
17,0.10013322114517184,0.1307869746864259,0.001
18,0.09624999753035952,0.12454607731083056,0.001
19,0.09491663979212871,0.1363757165335553,0.001
20,0.0963412374284746,0.11111716379895632,0.001
21,0.09487612273103448,0.17394515719169226,0.001
22,0.09156749804494202,0.11470996898475226,0.001
23,0.09504011075236037,0.11740802039146979,0.001
24,0.0884372151987527,0.13114463609137458,0.001
25,0.09136601949784919,0.13781379771121455,0.001
26,0.08947690789417553,0.1444133396471019,0.001
27,0.08546433903837716,0.1263023968742583,0.001
28,0.08736964289539603,0.12614221817060506,0.001
29,0.08564300187813338,0.12572077131181053,0.0005
30,0.08293410590899888,0.1212351773941503,0.0005
31,0.08069336300041513,0.12966357069502482,0.0005
32,0.08149504211053626,0.13742152669213034,0.0005
33,0.08136003295153273,0.11939159159424838,0.0005
34,0.07766192007716412,0.11953187405646264,0.0005
35,0.07759469470349692,0.1398499854134791,0.0005
36,0.07804441223435077,0.13129283176487558,0.0005
37,0.07882797810445977,0.11965640873533168,0.0005
38,0.07576749248156411,0.13103802975414794,0.00025
39,0.07620125970799863,0.13905263776372084,0.00025
40,0.0753532006588888,0.12189227747264164,0.00025
