feature,importance
Price to Book Ratio,0.0081210476765409
Dividend Indicated Yld - Gross,0.006502929131966086
bi_rate,0.005795728703960786
Low Price,0.0047776080532154685
High Price,0.004566594448018198
Bid Price,0.0035682967568087974
ihsg_return_1d,0.0025361790329528353
cpi_index,0.0017204346469952725
exchange_rate_usd_idr,0.0013542508803463238
Moving Average 20 Day,0.0013385727283700048
Price to Sales Ratio,0.0006684146103604405
Price Change 1 Day Percent,0.0005565002614942696
ihsg_close,0.0001978623071530214
Ask Price,0.00011694409574071596
Price Earnings Ratio,0.0
inflation_rate,0.0
