bank,case,seed,model_type,use_macro,optimize,rmse,mae,mape,mse,summary_path,test_predictions_path
BBCA,bilstm_macro,72,bilstm,True,False,2671.000467989476,2519.322021484375,27.11271858215332,7134243.5,results_study_full\BBCA\bilstm_macro\seed_72\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_macro\seed_72\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_macro,82,bilstm,True,False,2386.745063889313,2241.352294921875,24.08287811279297,5696552.0,results_study_full\BBCA\bilstm_macro\seed_82\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_macro\seed_82\BBCA\test_predictions_pytorch.csv
BBCA,lstm_data_ga,42,lstm,False,True,2481.080006771245,2345.3671875,25.249771118164062,6155758.0,results_study_full\BBCA\lstm_data_ga\seed_42\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_data_ga\seed_42\BBCA\test_predictions_pytorch.csv
BBCA,lstm_data_ga,52,lstm,False,True,2394.496502398782,2239.1728515625,24.02965545654297,5733613.5,results_study_full\BBCA\lstm_data_ga\seed_52\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_data_ga\seed_52\BBCA\test_predictions_pytorch.csv
BBCA,lstm_data_ga,62,lstm,False,True,2151.9500458886123,2003.031494140625,21.474292755126953,4630889.0,results_study_full\BBCA\lstm_data_ga\seed_62\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_data_ga\seed_62\BBCA\test_predictions_pytorch.csv
BBCA,lstm_data_ga,72,lstm,False,True,663.7962083727203,590.0924682617188,6.268417835235596,440625.40625,results_study_full\BBCA\lstm_data_ga\seed_72\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_data_ga\seed_72\BBCA\test_predictions_pytorch.csv
BBCA,lstm_data_ga,82,lstm,False,True,2772.8107580576066,2606.099365234375,28.012767791748047,7688479.5,results_study_full\BBCA\lstm_data_ga\seed_82\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_data_ga\seed_82\BBCA\test_predictions_pytorch.csv
BBCA,lstm_macro_ga,42,lstm,True,True,2440.9538094769428,2296.16845703125,24.684038162231445,5958255.5,results_study_full\BBCA\lstm_macro_ga\seed_42\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_macro_ga\seed_42\BBCA\test_predictions_pytorch.csv
BBCA,lstm_macro_ga,52,lstm,True,True,2432.1347618912896,2273.14697265625,24.394182205200195,5915279.5,results_study_full\BBCA\lstm_macro_ga\seed_52\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_macro_ga\seed_52\BBCA\test_predictions_pytorch.csv
BBCA,lstm_macro_ga,62,lstm,True,True,2266.388536857703,2130.930419921875,22.909818649291992,5136517.0,results_study_full\BBCA\lstm_macro_ga\seed_62\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_macro_ga\seed_62\BBCA\test_predictions_pytorch.csv
