bank,case,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,n_runs,model_type,use_macro,optimize
BBCA,bilstm_data,1881.5298306592788,199.48542032961242,1721.5466796875,191.17364031818056,18.364660835266115,2.0599094884323144,5,bilstm,False,False
BBCA,bilstm_data_ga,1894.871359608394,422.2577419891735,1752.6697509765625,406.7492555600154,18.753449630737304,4.3947319864142536,5,bilstm,False,True
BBCA,lstm_data,2062.1205245022225,304.7946899690802,1901.2635986328125,304.69398371839856,20.31940116882324,3.3276554857681404,5,lstm,False,False
BBCA,lstm_data_ga,2092.826704297793,829.11810605308,1956.7526733398438,794.0930942522601,21.006980991363527,8.568291863999052,5,lstm,False,True
BBCA,bilstm_macro_ga,2340.5432613143785,347.6631665776746,2223.978515625,338.054130170692,24.00098571777344,3.674597294194394,5,bilstm,True,True
BBCA,bilstm_macro,2405.929236202356,211.10693494869753,2269.9832763671875,199.909382491274,24.433758544921876,2.1551211774997183,5,bilstm,True,False
BBCA,lstm_macro,2481.55378149242,185.6119256697667,2348.9578125,189.81591998215353,25.309175109863283,2.0912005965411056,5,lstm,True,False
BBCA,lstm_macro_ga,2528.564125256549,228.62432193880682,2386.6705078125,237.68742723778564,25.691694259643555,2.6413581195867626,5,lstm,True,True
BBNI,bilstm_data,335.8522736369902,57.51025192970217,252.65788879394532,46.0458268150547,4.903071737289428,0.8989048520714414,5,bilstm,False,False
BBNI,bilstm_data_ga,367.54288117698684,91.66311683188982,278.23704223632814,76.80947517546896,5.411327648162842,1.509013830290011,5,bilstm,False,True
BBNI,lstm_data,375.1162864868789,90.08429030145749,286.7400787353516,89.42352832068254,5.578481817245484,1.8024186859352733,5,lstm,False,False
BBNI,lstm_data_ga,376.45064781952203,86.93034707283044,289.2865478515625,73.28248171650206,5.634350252151489,1.4376137658589576,5,lstm,False,True
BBNI,bilstm_macro_ga,454.5750891011195,83.91891263825214,377.71702270507814,73.83348624828793,7.451803493499756,1.4657852246306222,5,bilstm,True,True
BBNI,bilstm_macro,467.5284109702328,51.8654802789035,378.5779296875,54.46746143226741,7.432151222229004,1.1211005743135103,5,bilstm,True,False
BBNI,lstm_macro,490.2742251184154,56.168167525491185,403.76287231445315,63.92346808744583,7.956649494171143,1.3221052695430118,5,lstm,True,False
BBNI,lstm_macro_ga,515.83747502945,97.73095230172387,420.14055786132815,87.95521232045013,8.272882556915283,1.7784680624072005,5,lstm,True,True
BBRI,bilstm_data,525.7034087041224,123.24430046084521,435.440234375,126.53005003433489,8.338288879394531,2.4988196148281188,5,bilstm,False,False
BBRI,bilstm_data_ga,589.5838499829806,209.0942691534319,507.5806365966797,200.67698759653274,9.795469856262207,3.9305314913609886,5,bilstm,False,True
BBRI,bilstm_macro,647.6229018056657,41.733466888234055,553.2833618164062,56.330085567362616,10.648798942565918,1.195676024599503,5,bilstm,True,False
BBRI,bilstm_macro_ga,677.7227282865539,234.33834830440662,593.5888854980469,229.6280496581299,11.478406143188476,4.544859256311004,5,bilstm,True,True
BBRI,lstm_macro_ga,686.0771256041139,83.2156195734677,600.8764465332031,98.18600610000766,11.654899215698242,2.048312360703177,5,lstm,True,True
BBRI,lstm_macro,723.1967145985129,56.76637422274168,639.9414794921875,74.28604473838746,12.421828842163086,1.5642517363052517,5,lstm,True,False
BBRI,lstm_data_ga,728.6182741744981,293.1222972454841,634.0935241699219,300.28015178504774,12.260597133636475,6.007053905290636,5,lstm,False,True
BBRI,lstm_data,732.50881152101,183.4572192776746,632.6849487304687,183.26291933397795,12.19989185333252,3.6290737895968,5,lstm,False,False
BBTN,bilstm_data_ga,51.44288976547348,16.04480300565372,43.483079528808595,15.897555885123433,3.234213852882385,1.2096723900258068,5,bilstm,False,True
BBTN,bilstm_macro,66.00224182434386,17.63905315533314,52.6864372253418,15.533074595096682,3.858708906173706,1.1414514148767667,5,bilstm,True,False
BBTN,lstm_macro,75.91991741075077,26.05821583383435,63.12757339477539,22.12682511653884,4.607812881469727,1.595911099549997,5,lstm,True,False
BBTN,lstm_data,79.95042304582296,40.52788680071401,69.81519775390625,39.22701013121495,5.240826988220215,2.983991329270181,5,lstm,False,False
BBTN,bilstm_data,80.21985068353887,19.565874611032854,73.11596603393555,20.018339532845452,5.479657745361328,1.499543566968538,5,bilstm,False,False
BBTN,lstm_data_ga,87.42188268998268,26.44796361308561,77.4610710144043,26.839343681691975,5.829750394821167,2.0195165201520564,5,lstm,False,True
BBTN,bilstm_macro_ga,116.47791358946975,50.52261409836561,106.55568161010743,53.09919313584075,7.983054494857788,3.9995722318301077,5,bilstm,True,True
BBTN,lstm_macro_ga,249.9955229413829,80.14679093711815,233.7750244140625,79.4398392549694,17.822282600402833,6.024213778917848,5,lstm,True,True
BDMN,lstm_data,120.71672140429958,21.92134403196519,98.31604614257813,22.075484080988225,3.7384042263031008,0.8487912191518452,5,lstm,False,False
BDMN,bilstm_data_ga,136.56685330798908,58.09630032619268,118.97196044921876,55.722174043761406,4.495957326889038,2.1356110838607014,5,bilstm,False,True
BDMN,lstm_data_ga,159.28440728817714,47.92184261301949,139.0611099243164,47.60267337195915,5.2726065158844,1.84645591989987,5,lstm,False,True
BDMN,bilstm_data,159.86656140655197,53.53732595022088,140.6254913330078,52.903238675892354,5.295397806167602,2.0276533873184466,5,bilstm,False,False
BDMN,bilstm_macro,362.6027728766441,64.21709434283098,340.0816162109375,67.79560632824844,12.82251033782959,2.4956230070103946,5,bilstm,True,False
BDMN,lstm_macro,365.6081566355534,99.84688974908441,334.4802490234375,111.94283383150989,12.66812629699707,4.1009720375457,5,lstm,True,False
BDMN,bilstm_macro_ga,408.05420707749465,169.83851484151478,386.6609344482422,171.1281944046246,14.554445457458495,6.405038292583344,5,bilstm,True,True
BDMN,lstm_macro_ga,539.8721737341502,437.1168046902995,507.16772003173827,442.3302416693232,19.083783435821534,16.476742539181853,5,lstm,True,True
BMRI,bilstm_macro_ga,1388.7054715818663,257.9636013534338,1165.793212890625,249.01407032765727,19.094267272949217,4.248319564163664,5,bilstm,True,True
