bank,baseline_case,best_case,best_rmse_mean,baseline_rmse_mean,rmse_improvement_pct,wilcoxon_stat,wilcoxon_p,dm_stat_mse_loss,dm_p_mse_loss,n_seeds
BBCA,lstm_data,bilstm_data,1881.5298306592788,2062.1205245022225,8.75752370907305,4.0,0.4375,-7.331397014934711,2.278177646530821e-13,5
BBNI,lstm_data,bilstm_data,335.85227363699016,375.1162864868789,10.467157589347199,0.0,0.0625,-6.575853227684596,4.8374859673572246e-11,5
BBRI,lstm_data,bilstm_data,525.7034087041224,732.5088115210099,28.232479877951057,3.0,0.3125,-8.400789012182011,0.0,5
BBTN,lstm_data,bilstm_data_ga,51.44288976547348,79.95042304582296,35.656513367053236,3.0,0.3125,-8.25084142509641,2.220446049250313e-16,5
BDMN,lstm_data,lstm_data,120.71672140429959,120.71672140429959,0.0,0.0,1.0,,,5
BMRI,lstm_data,bilstm_macro_ga,1388.7054715818663,1563.4411603390458,11.176352087294836,4.0,0.4375,-6.690291682671412,2.2272628186215115e-11,5
BNGA,lstm_data,bilstm_data,244.1445729008673,256.75176284188444,4.910264218431494,3.0,0.3125,-4.065889932405068,4.784951643621582e-05,5
