feature,importance
Moving Average 20 Day,0.005759719474996358
Bid Price,0.004513852342421351
High Price,0.0042602775300021435
cpi_index,0.004155410570522463
Price Change 1 Day Percent,0.004118421091489992
Low Price,0.0035153895528597843
ihsg_return_1d,0.0029929883638460364
Price to Book Ratio,0.002964161550693915
Dividend Indicated Yld - Gross,0.0027432301560191105
Price Earnings Ratio,0.002731301856971226
Ask Price,0.00271472194676599
inflation_rate,0.0026830480535261114
ihsg_close,0.002424953352174977
Price to Sales Ratio,0.0020805524141547863
exchange_rate_usd_idr,0.001964389336800286
bi_rate,0.001074959560901903
