trial,val_mae,params
1,365.3806457519531,"{""n_estimators"": 451, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 4.0, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
2,381.3455810546875,"{""n_estimators"": 460, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 6.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
3,436.39923095703125,"{""n_estimators"": 1728, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 2.0, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
4,340.6617736816406,"{""n_estimators"": 1699, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
5,381.4969482421875,"{""n_estimators"": 1759, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 6.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
6,400.718017578125,"{""n_estimators"": 1951, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 6.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""gamma"": 0.1}"
7,448.416015625,"{""n_estimators"": 1146, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
8,326.3492431640625,"{""n_estimators"": 1945, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 8.0, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
9,447.1143798828125,"{""n_estimators"": 1087, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
10,454.2061767578125,"{""n_estimators"": 1043, ""learning_rate"": 0.01, ""max_depth"": 8, ""min_child_weight"": 6.0, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 10.0, ""gamma"": 0.2}"
11,417.9455261230469,"{""n_estimators"": 1040, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_weight"": 2.0, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
12,429.6043701171875,"{""n_estimators"": 537, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
13,364.07598876953125,"{""n_estimators"": 1102, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
14,422.7633056640625,"{""n_estimators"": 537, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 4.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
15,455.2410888671875,"{""n_estimators"": 434, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
16,389.6488342285156,"{""n_estimators"": 817, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 2.0, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""gamma"": 0.1}"
17,475.6476135253906,"{""n_estimators"": 1988, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 2.0, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""gamma"": 0.2}"
18,437.8812561035156,"{""n_estimators"": 799, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
19,304.2364196777344,"{""n_estimators"": 996, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 8.0, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""gamma"": 0.0}"
20,422.3876037597656,"{""n_estimators"": 453, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
21,348.21929931640625,"{""n_estimators"": 1895, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
22,342.264892578125,"{""n_estimators"": 812, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 6.0, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
23,453.24285888671875,"{""n_estimators"": 876, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""gamma"": 0.2}"
24,368.9687805175781,"{""n_estimators"": 1948, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 2.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
25,473.81817626953125,"{""n_estimators"": 434, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 8.0, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
26,490.46575927734375,"{""n_estimators"": 820, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 4.0, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
27,347.8641052246094,"{""n_estimators"": 1138, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
28,395.3636779785156,"{""n_estimators"": 1405, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""gamma"": 0.1}"
29,449.1949157714844,"{""n_estimators"": 620, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1.0, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
30,402.8138427734375,"{""n_estimators"": 590, ""learning_rate"": 0.02, ""max_depth"": 8, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""gamma"": 0.1}"
31,351.34185791015625,"{""n_estimators"": 801, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
32,448.1043701171875,"{""n_estimators"": 440, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 6.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""gamma"": 0.1}"
33,447.3077392578125,"{""n_estimators"": 1222, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 2.0, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
34,412.4567565917969,"{""n_estimators"": 1046, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 2.0, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
35,345.6304626464844,"{""n_estimators"": 814, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
36,433.6434326171875,"{""n_estimators"": 1421, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 8.0, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
37,351.1202697753906,"{""n_estimators"": 1958, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 1.0, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
38,422.32611083984375,"{""n_estimators"": 1711, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 8.0, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
39,398.2540283203125,"{""n_estimators"": 1357, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 2.0, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""gamma"": 0.1}"
40,473.4452819824219,"{""n_estimators"": 376, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 8.0, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
41,309.3060607910156,"{""n_estimators"": 1738, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 8.0, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
42,445.44232177734375,"{""n_estimators"": 1613, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
43,331.6600341796875,"{""n_estimators"": 946, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""gamma"": 0.0}"
44,450.2855529785156,"{""n_estimators"": 1713, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 6.0, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
45,423.1531066894531,"{""n_estimators"": 376, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 2.0, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
46,315.8966979980469,"{""n_estimators"": 1151, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
47,488.7392272949219,"{""n_estimators"": 330, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_weight"": 1.0, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
48,454.315185546875,"{""n_estimators"": 1288, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
49,432.06591796875,"{""n_estimators"": 1704, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1.0, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""gamma"": 0.2}"
50,428.9211120605469,"{""n_estimators"": 811, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 4.0, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
