epoch,train_loss,val_loss,lr,train_seconds,val_seconds,epoch_seconds
1,0.5681779260062829,0.5756209064752628,0.001,0.789388838999912,0.020547934999967765,0.8099533350000456
2,0.4043927667816053,0.5454875179381915,0.001,0.09427888599998369,0.01168128499989507,0.10597458100005497
3,0.3267590946621365,0.5428515107203753,0.001,0.09430778599994483,0.010368104000008316,0.10468309999987468
4,0.2896194487276043,0.5557080954660625,0.001,0.09334700199997314,0.010263563000080467,0.10361834499985889
5,0.28239126217194355,0.5533549113151355,0.001,0.09534454000004189,0.009963454999933674,0.10531563500012453
6,0.2636912278590664,0.5319825838773679,0.001,0.09305730599999151,0.010119659000110914,0.10318441499998698
7,0.24607140541503933,0.5510374331252003,0.001,0.091966149999962,0.010488207999969745,0.10246241800018652
8,0.2394017527447379,0.5660965498232897,0.001,0.09327378100010719,0.010250010999925507,0.10352960299996994
9,0.23522908638455106,0.5968412991726038,0.001,0.09322337000003245,0.010250842000004923,0.10348142200018629
10,0.2334572700189433,0.6032653316195472,0.001,0.09486037900001065,0.01015096000014637,0.10501789900013137
11,0.21590569307727198,0.6267402469417154,0.001,0.09692473799987056,0.010362985000028857,0.1072938620000059
12,0.21049703389513022,0.6336810722217693,0.001,0.09540105200017024,0.01033631400014201,0.10574502500003291
13,0.21354258847706634,0.6141258241969111,0.001,0.09796226100002059,0.010275662999902124,0.1082455339999342
14,0.2024293327844271,0.6250711918432952,0.001,0.09608451799999784,0.010414136000008511,0.1065053039999384
15,0.20141732061422,0.6138147868754424,0.0005,0.09872425000003204,0.010404615999959788,0.10914851600000475
16,0.1995340548535829,0.6035611454423491,0.0005,0.09793788100000711,0.010249531999988903,0.10819384299998092
17,0.20472855700386894,0.6174281018597263,0.0005,0.0922968080001283,0.010151988999950845,0.10245562899990546
18,0.19152782879849917,0.6247738585883366,0.0005,0.09581968100019367,0.010452346999954898,0.10627885799999603
19,0.19770732904420532,0.6448087922898762,0.0005,0.09421280299989121,0.010485526999900685,0.10470450100001472
20,0.1857831731492046,0.6247316971247568,0.0005,0.09849076499995135,0.009879362999981822,0.10837630799983344
21,0.1826447653620901,0.6435235899923009,0.0005,0.09313673799988464,0.010204241000110414,0.1033485190000647
22,0.1812596586549581,0.6417022924045305,0.0005,0.09340520399996421,0.010317253000039273,0.10372907800001485
23,0.18568871585271693,0.6351706956649994,0.0005,0.09802283299995906,0.01025780300005863,0.1082879260000027
24,0.1886270875465058,0.6613294172398139,0.00025,0.09769059600012042,0.010473517000036736,0.10818300400001135
25,0.181131046732694,0.6519401443032395,0.00025,0.09821944899999835,0.010486407000144027,0.10871329600013269
26,0.1794890253988218,0.6453186901577147,0.00025,0.09691341699999612,0.0105421179998757,0.10746246600001541
