"bank","case","runs","rmse_mean","mae_mean","mape_mean","mse_mean"
"BBCA","lstm_post_norm_macro","5","2733.57164918172","2566.17138671875","27.5793743133545","7616823.3"
"BBCA","lstm_post_norm_macro_ga","5","2819.14899651091","2653.54111328125","28.5645515441895","8294743.1"
"BBCA","bilstm_pre_post_norm_macro","5","3051.43631920573","2947.05732421875","32.0873916625977","9362302.8"
"BBCA","lstm_pre_post_norm_macro","5","3297.51929360162","3198.8345703125","34.9325008392334","10985983"
"BBCA","bilstm_pre_norm_macro","5","3360.18369762158","3264.98408203125","35.5918212890625","11317372.8"
"BBCA","bilstm_pre_norm_macro_ga","5","3384.04731999409","3293.24555664063","35.9432144165039","11527459.4"
"BBCA","lstm_pre_post_norm_macro_ga","5","3387.52832666301","3266.25981445312","35.533423614502","11782508.4"
"BBCA","lstm_pre_norm_macro","5","3472.72511240463","3374.0080078125","36.79736328125","12115039.8"
"BBCA","bilstm_pre_post_norm_macro_ga","5","3499.01990017124","3377.40795898438","36.7686412811279","12723765.7"
"BBCA","lstm_pre_norm_data_ga","5","3522.07904341903","3412.26108398438","37.0770790100098","12497537.2"
"BBCA","bilstm_pre_post_norm_data_ga","5","3670.30446898391","3529.62104492188","38.295191192627","14051493.3"
"BBCA","lstm_pre_post_norm_data_ga","5","3736.33791455237","3597.63623046875","39.0861991882324","14277227.2"
"BBCA","lstm_pre_post_norm_data","5","3826.06847539357","3637.93051757813","39.4152053833008","15073176.6"
"BBCA","bilstm_pre_norm_data_ga","5","3850.58433833365","3746.04213867187","40.7756530761719","14937809.8"
"BBCA","lstm_pre_norm_macro_ga","5","3889.36958823015","3754.2919921875","40.9074272155762","15307451.6"
"BBCA","lstm_pre_norm_data","5","4047.83145370913","3861.62573242188","41.8084686279297","16927393.2"
"BBCA","bilstm_pre_norm_data","5","4670.21409404578","4430.27744140625","47.9078224182129","23082427.6"
"BBCA","bilstm_pre_post_norm_data","5","4892.84798502886","4660.80615234375","50.4994518280029","25148310"
"BBNI","cnn_bilstm_data","5","362.884036566395","263.18908996582","5.07865772247314","132717.8953125"
"BBNI","cnn_bilstm_data_ga","5","373.374499078819","289.760525512695","5.66500110626221","141641.078125"
"BBNI","cnn_lstm_data","5","388.626050619807","285.187124633789","5.50560760498047","151393.4359375"
