"bank","case","seed","model_type","use_macro","optimize","rmse","mae","mape","mse","summary_path","test_predictions_path"
"BBCA","bilstm_pre_norm_data","42","bilstm_pre_norm","False","False","3563.33299033363","3447.30126953125","37.4391632080078","12697342","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_42\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_42\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data","52","bilstm_pre_norm","False","False","5284.25358967565","5016.3671875","54.3053398132324","27923336","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_52\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_52\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data","62","bilstm_pre_norm","False","False","3091.03413116064","2972.388671875","32.2161064147949","9554492","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_62\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_62\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data","72","bilstm_pre_norm","False","False","5466.47162253679","5172.21875","55.8959503173828","29882312","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_72\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_72\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data","82","bilstm_pre_norm","False","False","5945.9781365222","5543.111328125","59.6825523376465","35354656","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_82\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data\seed_82\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data_ga","42","bilstm_pre_norm","False","True","4061.96319530347","3954.6015625","43.0562705993652","16499545","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_42\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_42\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data_ga","52","bilstm_pre_norm","False","True","3672.08673644836","3561.92944335938","38.7185554504395","13484221","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_52\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_52\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data_ga","62","bilstm_pre_norm","False","True","4148.462847851","4051.92944335938","44.1850128173828","17209744","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_62\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_62\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data_ga","72","bilstm_pre_norm","False","True","3276.50209827493","3162.7646484375","34.3093795776367","10735466","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_72\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_72\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_data_ga","82","bilstm_pre_norm","False","True","4093.90681379047","3998.98559570313","43.6090469360351","16760073","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_82\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_data_ga\seed_82\BBCA\test_predictions_pytorch.csv"
