feature,importance
High Price,0.0030360667733240385
Price Change 1 Day Percent,0.0022868117374794873
cpi_index,0.002140668267707551
Low Price,0.0020767554852257762
exchange_rate_usd_idr,0.0019289024824198952
Moving Average 20 Day,0.001919912572754924
Dividend Indicated Yld - Gross,0.0015896967413330757
Bid Price,0.0015776546724608658
Price to Book Ratio,0.0011855840556631607
Ask Price,0.000770919269004913
bi_rate,0.00027458690250329953
Price Earnings Ratio,0.00025161876457254157
ihsg_close,0.00010198546224274123
Price to Sales Ratio,4.164429653125522e-05
ihsg_return_1d,3.079821666081573e-06
inflation_rate,0.0
