epoch,train_loss,val_loss,lr
1,1.1315272412419746,0.7500779374496086,0.0001
2,0.8064371013085901,0.7588693059129871,0.0001
3,0.6319455544367486,0.45329837688616104,0.0001
4,0.5139625118304324,0.38760130956664784,0.0001
5,0.42486738735629664,0.31261289446226087,0.0001
6,0.39197628245986066,0.31382577670065115,0.0001
7,0.3619473064244862,0.31408000966677296,0.0001
8,0.35205045812446156,0.3133402326098689,0.0001
9,0.3422696723732897,0.3156051939062444,0.0001
10,0.342740038112073,0.3290572138655158,0.0001
11,0.31745823370726733,0.3199259067140954,0.0001
12,0.3177306498677927,0.32568555458998066,0.0001
13,0.3071757186377775,0.32666394961151207,0.0001
14,0.30716529754541255,0.3300095350418613,5e-05
15,0.30519139330874206,0.33043973389274867,5e-05
16,0.301734312930842,0.32785233669417163,5e-05
17,0.2858076290417743,0.3269800274591624,5e-05
18,0.2999372308399515,0.33715027855548546,5e-05
19,0.2941234068203998,0.33251743459757116,5e-05
20,0.2908330925583412,0.32767287289207075,5e-05
21,0.29148187656556407,0.331193747897665,5e-05
22,0.28886228641728773,0.3329757919192036,5e-05
23,0.2910323830488335,0.3337457448869318,2.5e-05
24,0.28763028109800004,0.3353389973615433,2.5e-05
25,0.27979872221908264,0.3323101555724522,2.5e-05
