epoch,train_loss,val_loss,lr,train_seconds,val_seconds,epoch_seconds
1,0.5935043558211309,0.644400846708071,0.001,0.9453654710000592,0.019988917000091533,0.9653696689999833
2,0.260594480781145,0.3927101704763088,0.001,0.09638948199994957,0.010602781999978106,0.10700449400019352
3,0.19006598521838478,0.3799415494734313,0.001,0.09617965300003561,0.010778060000120604,0.10696497300000374
4,0.1837835885290604,0.37437830049119075,0.001,0.0970320910000737,0.010743268999931388,0.10778211000001647
5,0.18526771853687943,0.4217213304031701,0.001,0.09879588299986608,0.010761088999970525,0.10956460299985338
6,0.17340943711846532,0.385795008747172,0.001,0.09638391999988016,0.010842333000027793,0.10724479300006351
7,0.16355921614340985,0.4307920348533106,0.001,0.0958972169999015,0.010588021000103254,0.10649114799980453
8,0.16513581794008986,0.4220366295956787,0.001,0.09649333500010471,0.010846053000022948,0.10734559800016541
9,0.15503215961772482,0.4002161932575119,0.001,0.09617056000001867,0.010678425000151037,0.10685586600015995
10,0.1603013296655002,0.47006877270333974,0.001,0.09575428099992678,0.010640653000109523,0.10640135399989958
11,0.1593457001084495,0.388553210210689,0.001,0.10037837499999114,0.010679644999981974,0.11106474999996863
12,0.16285100658307367,0.4057977710153673,0.001,0.09483616799980155,0.010751878000064607,0.1055946070000573
13,0.16124500861411453,0.40141794731566954,0.0005,0.09501623699998163,0.010581870999885723,0.10561705799977972
14,0.15734009500259138,0.46922996223389685,0.0005,0.09445873000004212,0.010632522999912908,0.10509761299999809
15,0.1589086717441945,0.42039242664695065,0.0005,0.09441469899979893,0.010609352000074068,0.10503018100007466
16,0.15361390670354222,0.4237202000228953,0.0005,0.094566456000166,0.010622261999969851,0.1051956890000838
17,0.15121295225662998,0.4014982963219667,0.0005,0.09449928300000465,0.010658944999931919,0.10516464800002723
18,0.15551236040062374,0.43000743390519025,0.0005,0.09547601799999939,0.010999231000141663,0.10648196899978757
19,0.158551425457428,0.3961007379012786,0.0005,0.0966120719999708,0.01076754899986554,0.10738701100012804
20,0.15500598024296505,0.43083187180521326,0.0005,0.09699380799997925,0.010701637000011033,0.10770201499985887
21,0.15334110114736796,0.39509385699158783,0.0005,0.09629067700006999,0.011015131000021938,0.10731324799985487
22,0.155335208186112,0.38480592913283057,0.00025,0.09951429600005213,0.010842033000017182,0.11037487899989173
23,0.14523671297189583,0.42069988504989997,0.00025,0.09696685799985971,0.010766829999965921,0.10774046699998507
24,0.15572187808679425,0.417865943172317,0.00025,0.09625375399991754,0.010725677999971595,0.10698545200011722
