feature,importance
cpi_index,411347678988.3393
Low Price,411347678988.3388
High Price,0.003605891065769758
Ask Price,0.0034760835111778687
Moving Average 20 Day,0.0033178460876220387
Price to Book Ratio,0.0031019856638509263
inflation_rate,0.0028551802515692326
Dividend Indicated Yld - Gross,0.002761170909256783
Price to Sales Ratio,0.002558482177347762
Bid Price,0.0024685363528459997
bi_rate,0.002329563242169449
Price Change 1 Day Percent,0.0022319512704137095
ihsg_close,0.001798129079410605
ihsg_return_1d,0.001792382087767157
Price Earnings Ratio,0.001667276762835249
exchange_rate_usd_idr,0.0014321440449827326
