feature,importance
Moving Average 20 Day,0.0037534781310421634
Price to Sales Ratio,0.0025730731560021525
ihsg_close,0.00253225236988394
Bid Price,0.002185900556700667
Dividend Indicated Yld - Gross,0.002114817578199696
Price Earnings Ratio,0.002075873148328363
Low Price,0.00169716740404564
cpi_index,0.0015863085573284636
High Price,0.0014342012955165199
Ask Price,0.0012590633590763816
inflation_rate,0.0011974841890615008
exchange_rate_usd_idr,0.0011932179535972462
Price Change 1 Day Percent,0.0011776991367070558
bi_rate,0.0011337620982227721
Price to Book Ratio,0.001080140742098442
ihsg_return_1d,0.0004473373301664523
