Date,Price Change 1 Day Percent,High Price,Low Price,Moving Average 20 Day,Ask Price,Bid Price,Price to Sales Ratio,Price to Book Ratio,Dividend Indicated Yld - Gross,Price Earnings Ratio,Free Float Percent,Volume,VWAP (Vol Weighted Average Price),Equity Float,Closing Price
2024-12-30,0.4405,1140,1125,1190.75,1140,1135,0.4873,0.4912,4.3764,5.3201,39.7646,5928800,1136.2651,5580.744,1140
2024-12-27,0.4425,1145,1130,1198.25,1135,1130,0.4814,0.4977,4.3957,4.8703,39.7646,8187200,1136.4865,5580.744,1135
2024-12-24,-0.8772,1150,1130,1206.25,1130,1125,0.4793,0.4955,4.4152,4.8488,39.7646,7787300,1138.8762,5580.744,1130
2024-12-23,1.3333,1150,1130,1214.25,1145,1140,0.4835,0.4999,4.3764,4.8918,39.7646,12581700,1136.7848,5580.744,1140
2024-12-20,1.3514,1125,1105,1220.25,1125,1120,0.4772,0.4933,4.4348,4.8274,39.7646,10651000,1117.3131,5580.744,1125
2024-12-19,-3.8961,1150,1105,1226.25,1115,1110,0.4708,0.4867,4.4947,4.763,39.7646,26931400,1117.4065,5580.744,1110
2024-12-18,-1.2821,1190,1150,1234.25,1155,1150,0.4899,0.5064,4.3196,4.9561,39.7646,24313900,1168.8076,5580.744,1155
2024-12-17,-2.5,1205,1165,1240.5,1170,1165,0.4962,0.513,4.2642,5.0205,39.7646,21107100,1179.4901,5580.744,1170
2024-12-16,-0.8264,1220,1195,1245,1200,1195,0.509,0.5262,4.1576,5.1492,39.7646,15066400,1202.9668,5580.744,1200
2024-12-13,-1.626,1225,1200,1249.5,1210,1205,0.5132,0.5306,4.1233,5.1921,39.7646,16015500,1210.2299,5580.744,1210
2024-12-12,-1.6,1250,1220,1254.25,1230,1225,0.5217,0.5393,4.0562,5.2779,39.7646,16663100,1227.8535,5580.744,1230
2024-12-11,1.2146,1260,1230,1259.25,1255,1250,0.5302,0.5481,3.9913,5.3638,39.7646,22065400,1248.6663,5580.744,1250
2024-12-10,0,1240,1225,1261.75,1235,1230,0.5238,0.5415,4.0398,5.2994,39.7646,15518100,1232.4784,5580.744,1235
2024-12-09,2.0661,1245,1210,1264.75,1240,1235,0.5238,0.5415,4.0398,5.2994,39.7646,27441100,1229.5686,5580.744,1235
2024-12-06,0,1220,1200,1269.25,1210,1205,0.5132,0.5306,4.1233,5.1921,39.7646,22950900,1208.6526,5580.744,1210
2024-12-05,-0.8197,1230,1205,1275.75,1210,1205,0.5132,0.5306,4.1233,5.1921,39.7646,13817800,1214.6381,5580.744,1210
2024-12-04,1.2448,1245,1205,1281.75,1220,1215,0.5174,0.5349,4.0895,5.235,39.7646,37117700,1223.104,5580.744,1220
2024-12-03,-1.2295,1250,1200,1289.25,1210,1205,0.5111,0.5284,4.1404,5.1707,39.7646,38599900,1219.204,5580.744,1205
2024-12-02,-5.0584,1285,1220,1298,1230,1220,0.5174,0.5349,4.0895,5.235,39.7646,15979400,1245.1326,5580.744,1220
2024-11-29,-0.3876,1290,1260,1307.75,1285,1280,0.545,0.5634,3.8826,5.514,39.7646,13080100,1272.7307,5580.744,1285
2024-11-28,-0.3861,1295,1275,1313.75,1290,1285,0.5471,0.5656,3.8675,5.5354,39.7646,16974400,1289.6079,5580.744,1290
2024-11-26,0.3876,1305,1275,1319.5,1295,1290,0.5493,0.5678,3.8526,5.5569,39.7646,18729100,1291.577,5580.744,1295
2024-11-25,2.381,1335,1265,1326,1300,1290,0.5471,0.5656,3.8675,5.5354,39.7646,38369000,1296.9697,5580.744,1290
2024-11-22,1.2048,1280,1250,1334,1265,1260,0.5344,0.5525,3.9596,5.4067,39.7646,25077700,1265.4266,5580.744,1260
2024-11-21,-1.9685,1275,1240,1344.5,1250,1245,0.5281,0.5459,4.0073,5.3423,39.7646,25820700,1252.4918,5580.744,1245
2024-11-20,-0.7812,1295,1265,1357,1275,1270,0.5387,0.5569,3.9285,5.4496,39.7646,10593000,1275.8726,5580.744,1270
2024-11-19,1.5873,1295,1265,1367.5,1280,1275,0.5429,0.5612,3.8978,5.4925,39.7646,8585400,1281.1721,5580.744,1280
2024-11-18,-2.3256,1295,1260,1377,1260,1255,0.5344,0.5525,3.9596,5.4067,39.7646,9941900,1266.6909,5580.744,1260
2024-11-15,-1.1494,1305,1280,1388.5,1290,1285,0.5471,0.5656,3.8675,5.5354,39.7646,6830100,1290.2843,5580.744,1290
2024-11-14,-1.8797,1330,1300,1399,1305,1300,0.5535,0.5722,3.8231,5.5998,39.7646,10510300,1308.6484,5580.744,1305
2024-11-13,2.3077,1345,1300,1409,1330,1325,0.5641,0.5832,3.7512,5.707,39.7646,19311200,1331.1509,5580.744,1330
2024-11-12,0.3861,1310,1280,1417.5,1305,1300,0.5514,0.57,3.8378,5.5783,39.7646,15095500,1296.8708,5580.744,1300
2024-11-11,-2.2642,1330,1270,1427,1295,1290,0.5493,0.5678,3.8526,5.5569,39.7646,28969000,1293.4581,5580.744,1295
2024-11-08,-1.1194,1360,1305,1436.25,1325,1320,0.562,0.581,3.7654,5.6856,39.7646,19416100,1331.1343,5580.744,1325
2024-11-07,0.7519,1360,1315,1442.5,1345,1340,0.5683,0.5876,3.7232,5.75,39.7646,25644200,1330.8718,5580.744,1340
2024-11-06,-2.9197,1400,1315,1445,1330,1325,0.5641,0.5832,3.7512,5.707,39.7646,45253800,1359.4313,5580.744,1330
2024-11-05,-0.7246,1390,1360,1448,1375,1370,0.5811,0.6007,3.6417,5.8787,39.7646,25992100,1372.239,5580.744,1370
2024-11-04,-2.4735,1415,1365,1450,1380,1375,0.5853,0.6051,3.6153,5.9216,39.7646,32796100,1381.9559,5580.744,1380
2024-11-01,0.7117,1415,1390,1450.25,1415,1405,0.6002,0.6204,3.5259,6.0718,39.7646,12336600,1403.1135,5580.744,1415
