feature,importance
Price to Sales Ratio,0.001845427485482832
Bid Price,0.0013602829569531122
ihsg_return_1d,0.0013556627121798434
Moving Average 20 Day,0.0013439189801440897
Ask Price,0.0012123762753405295
Low Price,0.0011961779088590582
bi_rate,0.0011934480064417611
High Price,0.0011627837101457915
exchange_rate_usd_idr,0.0011178659658568442
Price Earnings Ratio,0.0009360838229301592
Price to Book Ratio,0.0008822462147378495
Dividend Indicated Yld - Gross,0.000873123866018837
inflation_rate,0.0008475872448793325
cpi_index,0.0008451371752117101
Price Change 1 Day Percent,0.0008176894434532424
ihsg_close,0.0007989824457430232
