feature,importance
Price to Book Ratio,0.011467133648702266
Price Earnings Ratio,0.006362964203680539
Price Change 1 Day Percent,0.0058434995994619595
ihsg_close,0.004266182691062567
High Price,0.003660434783798539
Bid Price,0.0035507958597064807
ihsg_return_1d,0.0026877266847758386
Moving Average 20 Day,0.002428101552262282
bi_rate,0.0023794754450569785
cpi_index,0.0023794754450569763
exchange_rate_usd_idr,0.0020072651504288
inflation_rate,0.0019067967411441093
Ask Price,0.001250301224774579
Low Price,0.0006226882451844021
Price to Sales Ratio,0.00011894577309691974
Dividend Indicated Yld - Gross,0.0
