feature,importance
High Price,0.0032208046795216133
Price Change 1 Day Percent,0.0022628086815036754
Low Price,0.0021608664117565776
ihsg_return_1d,0.0021129845747492946
Bid Price,0.0019509842765271606
Moving Average 20 Day,0.0019457189152834397
Dividend Indicated Yld - Gross,0.0017916541552451557
Ask Price,0.0017643213731455179
cpi_index,0.001732677557740168
Price to Book Ratio,0.0016568952138454095
inflation_rate,0.0015497021093080388
bi_rate,0.0015067700354554794
Price Earnings Ratio,0.0014905389312554241
Price to Sales Ratio,0.0011463020568470686
exchange_rate_usd_idr,0.0011397890287826594
ihsg_close,0.0008829457879118488
