Date,Price Change 1 Day Percent,High Price,Low Price,Moving Average 20 Day,Ask Price,Bid Price,Price to Sales Ratio,Price to Book Ratio,Dividend Indicated Yld - Gross,Price Earnings Ratio,Free Float Percent,Volume,VWAP (Vol Weighted Average Price),Equity Float,Closing Price
2024-12-30,-0.4878,4120,4070,4221.5,4090,4080,2.6555,1.9384,9.0686,10.2324,46.2693,153934704,4086.0171,70125.258,4080
2024-12-27,-2.381,4120,4080,4234,4110,4100,2.6872,1.91,9.0244,10.1142,46.2693,143104400,4101.9136,70125.258,4100
2024-12-24,-0.2375,4250,4170,4249,4210,4200,2.7528,1.9566,8.8095,10.3609,46.2693,199536096,4212.8608,70125.258,4200
2024-12-23,3.6946,4210,4110,4262.5,4210,4200,2.7593,1.9613,8.7886,10.3856,46.2693,167689792,4166.5415,70125.258,4210
2024-12-20,-0.7335,4120,4050,4272,4070,4060,2.661,1.8914,9.1133,10.0155,46.2693,252689600,4076.5977,70125.258,4060
2024-12-19,-1.4458,4110,4050,4281.5,4090,4080,2.6807,1.9054,9.0465,10.0896,46.2693,381986304,4077.4761,70125.258,4090
2024-12-18,0,4210,4130,4293.5,4150,4140,2.72,1.9333,8.9157,10.2376,46.2693,205055504,4160.6689,70125.258,4150
2024-12-17,-2.3529,4290,4150,4304,4160,4150,2.72,1.9333,8.9157,10.2376,46.2693,327919008,4189.1377,70125.258,4150
2024-12-16,1.9185,4280,4150,4314,4250,4240,2.7855,1.9799,8.7059,10.4843,46.2693,325441888,4219.4712,70125.258,4250
2024-12-13,-2.1127,4280,4170,4325,4180,4170,2.7331,1.9426,7.6499,10.2869,46.2693,287838112,4204.0532,70125.258,4170
2024-12-12,-2.7397,4360,4260,4341.5,4270,4260,2.7921,1.9846,7.4883,10.5089,46.2693,226698896,4296.3472,70125.258,4260
2024-12-11,0.4587,4430,4340,4357.5,4390,4380,2.8707,2.0405,7.2831,10.805,46.2693,203980304,4397.0532,70125.258,4380
2024-12-10,-0.6834,4380,4290,4363.5,4360,4350,2.8576,2.0311,7.3165,10.7556,46.2693,196160896,4343.4209,70125.258,4360
2024-12-09,1.8561,4390,4300,4368.5,4390,4380,2.8773,2.0451,7.2665,10.8296,46.2693,158897200,4355.4438,70125.258,4390
2024-12-06,1.1737,4310,4220,4375,4310,4300,2.8249,2.0079,7.4014,10.6323,46.2693,151432992,4283.9917,70125.258,4310
2024-12-05,-2.069,4340,4250,4387,4270,4260,2.7921,1.9846,7.4883,10.5089,46.2693,183249296,4283.1787,70125.258,4260
2024-12-04,2.5943,4370,4220,4404,4360,4350,2.8511,2.0265,7.3333,10.7309,46.2693,345762208,4313.3154,70125.258,4350
2024-12-03,1.6787,4250,4210,4422,4250,4240,2.779,1.9752,7.5236,10.4596,46.2693,384146688,4234.4927,70125.258,4240
2024-12-02,-1.8824,4280,4160,4446,4180,4170,2.7331,1.9426,7.6499,10.2869,46.2693,337188896,4206.793,70125.258,4170
2024-11-29,-1.8476,4300,4250,4472.5,4250,4240,2.7855,1.9799,7.5059,10.4843,46.2693,412519808,4270.2041,70125.258,4250
