Date,Price Change 1 Day Percent,High Price,Low Price,Moving Average 20 Day,Ask Price,Bid Price,Price to Sales Ratio,Price to Book Ratio,Dividend Indicated Yld - Gross,Price Earnings Ratio,Free Float Percent,Volume,VWAP (Vol Weighted Average Price),Equity Float,Closing Price
2024-12-30,-1.7241,5750,5650,6028.75,5725,5700,2.8467,1.8746,6.2098,9.5371,39.1946,96782096,5708.8667,36581.668,5700
2024-12-27,0.8696,5850,5750,6066.25,5800,5775,3.0167,1.9893,6.1027,9.3312,39.1946,46126800,5793.3027,36581.668,5800
2024-12-24,-1.2876,5875,5750,6096.25,5775,5750,2.9907,1.9722,6.1558,9.2507,39.1946,41240900,5782.6968,36581.668,5750
2024-12-23,2.6432,5875,5725,6137.5,5825,5800,3.0297,1.9979,6.0765,9.3714,39.1946,82910096,5791.6802,36581.668,5825
2024-12-20,0,5750,5625,6158.75,5700,5675,2.9516,1.9464,6.2371,9.1301,39.1946,148568608,5700.1113,36581.668,5675
2024-12-19,-2.5751,5725,5600,6182.5,5675,5650,2.9516,1.9464,6.2371,9.1301,39.1946,277792992,5662.4561,36581.668,5675
2024-12-18,-2.1008,6000,5775,6210,5850,5825,3.0297,1.9979,6.0765,9.3714,39.1946,153164608,5867.0332,36581.668,5825
2024-12-17,-2.0576,6075,5925,6231.25,5950,5925,3.0947,2.0408,5.9489,9.5725,39.1946,72109296,5974.2881,36581.668,5950
2024-12-16,0.8299,6100,5900,6250,6075,6050,3.1597,2.0836,5.8265,9.7736,39.1946,105375904,6006.6963,36581.668,6075
2024-12-13,-1.6327,6100,5975,6263.75,6025,6000,3.1337,2.0665,5.8748,9.6932,39.1946,135581408,6016.3994,36581.668,6025
2024-12-12,-2.7778,6225,6100,6281.25,6150,6125,3.1857,2.1008,5.7789,9.854,39.1946,96707504,6153.3521,36581.668,6125
2024-12-11,0,6400,6300,6296.25,6300,6275,3.2767,2.1608,5.6184,10.1356,39.1946,62509600,6328.9409,36581.668,6300
2024-12-10,-1.1765,6325,6225,6300,6325,6300,3.2767,2.1608,5.6184,10.1356,39.1946,92245000,6273.2578,36581.668,6300
2024-12-09,2.4096,6375,6175,6302.5,6375,6350,3.3157,2.1865,5.5523,10.2562,39.1939,74220304,6311.6147,36580.953,6375
2024-12-06,1.2195,6275,6125,6300,6250,6225,3.2377,2.1351,5.6861,10.0149,39.1939,75989696,6192.9341,36580.953,6225
2024-12-05,-3.5294,6375,6150,6310,6175,6150,3.1987,2.1094,5.7554,9.8943,39.1939,69528704,6209.9194,36580.953,6150
2024-12-04,1.5936,6450,6225,6330,6375,6350,3.3157,2.1865,5.5523,10.2562,39.1939,75260000,6356.6562,36580.953,6375
2024-12-03,4.5833,6275,6100,6357.5,6275,6250,3.2637,2.1522,5.6408,10.0954,39.1939,99509800,6219.127,36580.953,6275
2024-12-02,-2.439,6250,5975,6381.25,6025,6000,3.1207,2.0579,5.8993,9.6529,39.1941,114555296,6072.8843,36581.195,6000
2024-11-29,-4.6512,6375,6125,6413.75,6175,6150,3.1987,2.1094,5.7554,9.8943,39.1941,157628704,6215.7095,36581.195,6150
2024-11-28,0.7812,6525,6350,6441.25,6475,6450,3.3547,2.2123,5.4877,10.3769,39.1941,81883200,6425.2451,36581.195,6450
2024-11-26,-2.6616,6600,6325,6456.25,6425,6400,3.3287,2.1951,5.5306,10.2965,39.1941,107194304,6441.8843,36581.195,6400
2024-11-25,5.2,6600,6325,6477.5,6575,6550,3.4197,2.2551,5.3834,10.578,39.1941,183449104,6527.5815,36581.195,6575
2024-11-22,1.626,6300,6100,6490,6250,6225,3.2507,2.1437,5.6633,10.0551,39.1941,80236400,6215.7246,36581.195,6250
2024-11-21,-1.2048,6225,6125,6530,6150,6125,3.1987,2.1094,5.7554,9.8943,39.1946,76579296,6167.6191,36581.668,6150
2024-11-20,-0.4,6350,6200,6571.25,6225,6200,3.2377,2.1351,5.6861,10.0149,39.1946,68707200,6249.7183,36581.668,6225
2024-11-19,-1.1858,6375,6225,6613.75,6275,6250,3.2507,2.1437,5.6633,10.0551,39.1946,95499696,6284.2217,36581.668,6250
2024-11-18,-0.3937,6425,6225,6655,6325,6300,3.2897,2.1694,5.5962,10.1758,39.1946,80652200,6304.5093,36581.668,6325
2024-11-15,-0.3922,6400,6300,6698.75,6375,6350,3.3027,2.178,5.5741,10.216,39.1946,41079700,6354.8926,36581.668,6350
2024-11-14,-0.7782,6475,6350,6740,6400,6375,3.3157,2.1865,5.5523,10.2562,39.1946,69750600,6414.4438,36581.668,6375
2024-11-13,0.7843,6550,6400,6782.5,6450,6425,3.3417,2.2037,5.5091,10.3367,39.1946,102748304,6470.4692,36581.668,6425
2024-11-12,0.3937,6450,6325,6811.25,6375,6350,3.3157,2.1865,5.5523,10.2562,39.1946,117281696,6386.2788,36581.668,6375
2024-11-11,0.3953,6450,6150,6845,6350,6325,3.3027,2.178,5.5741,10.216,39.1946,125606000,6336.4873,36581.668,6350
2024-11-08,-1.5564,6525,6275,6873.75,6350,6325,3.2897,2.1694,5.5962,10.1758,39.1946,192676992,6366.6899,36581.668,6325
2024-11-07,-1.9084,6550,6425,6905,6450,6425,3.3417,2.2037,5.5091,10.3367,39.1946,154758496,6461.7012,36581.668,6425
2024-11-06,-5.4152,6925,6550,6931.25,6575,6550,3.4067,2.2466,5.4039,10.5378,39.1946,147272800,6662.0127,36581.668,6550
2024-11-05,2.5926,6950,6675,6951.25,6950,6925,3.6018,2.3752,5.1113,11.1411,39.1946,88661200,6848.2173,36581.668,6925
2024-11-04,1.5038,6800,6525,6958.75,6775,6750,3.5108,2.3152,5.2438,10.8596,39.1946,80208800,6672.1851,36581.668,6750
