Date,Price Change 1 Day Percent,High Price,Low Price,Moving Average 20 Day,Ask Price,Bid Price,Price to Sales Ratio,Price to Book Ratio,Dividend Indicated Yld - Gross,Price Earnings Ratio,Free Float Percent,Volume,VWAP (Vol Weighted Average Price),Equity Float,Closing Price
2024-12-30,1.1952,2550,2510,2559.5,2550,2540,0.9073,0.4861,4.9402,7.8082,7.4694,928900,2540.2703,730.0239,2540
2024-12-27,-1.9531,2580,2500,2559.5,2520,2510,0.9078,0.4857,4.9992,7.4916,7.4694,1786700,2516.0862,730.0239,2510
2024-12-24,1.1858,2560,2520,2561.5,2560,2550,0.9259,0.4954,4.9016,7.6409,7.4694,532900,2545.2224,730.0239,2560
2024-12-23,0.3968,2560,2510,2562,2530,2520,0.9151,0.4896,4.9597,7.5513,7.4694,364500,2531.4841,730.0239,2530
2024-12-20,0,2550,2500,2562.5,2520,2510,0.9114,0.4876,4.9794,7.5215,7.4694,948400,2519.5193,730.0239,2520
2024-12-19,-0.3953,2550,2490,2562.5,2530,2520,0.9114,0.4876,4.9794,7.5215,7.4694,2098200,2510.1331,730.0239,2520
2024-12-18,-0.7843,2570,2530,2562.5,2540,2530,0.9151,0.4896,4.9597,7.5513,7.4694,631600,2544.4712,730.0239,2530
2024-12-17,-1.9231,2600,2530,2562,2560,2550,0.9223,0.4934,4.9208,7.611,7.4694,2326500,2552.938,730.0239,2550
2024-12-16,0,2610,2570,2560,2600,2590,0.9404,0.5031,4.8262,7.7602,7.4694,830700,2591.79,730.0239,2600
2024-12-13,0,2630,2580,2556,2600,2590,0.9404,0.5031,4.8262,7.7602,7.4694,561900,2594.3123,730.0239,2600
2024-12-12,-1.1407,2630,2600,2552,2620,2600,0.9404,0.5031,4.8262,7.7602,7.4694,945900,2610.4841,730.0239,2600
2024-12-11,0.3817,2660,2610,2547.5,2630,2620,0.9512,0.5089,4.7711,7.8498,7.4694,474900,2631.1938,730.0239,2630
2024-12-10,-0.3802,2640,2610,2542.5,2630,2620,0.9476,0.507,4.7893,7.8199,7.4694,541000,2620.1274,730.0239,2620
2024-12-09,2.7344,2670,2560,2537.5,2640,2630,0.9512,0.5089,4.7711,7.8498,7.4694,2507600,2625.2104,730.0239,2630
2024-12-06,0.7874,2570,2540,2532,2560,2550,0.9259,0.4954,4.9016,7.6409,7.4694,1081900,2558.865,730.0239,2560
2024-12-05,0,2560,2520,2529.5,2540,2530,0.9187,0.4915,4.9402,7.5812,7.4694,453600,2534.2944,730.0239,2540
2024-12-04,0.3953,2560,2530,2528,2550,2540,0.9187,0.4915,4.9402,7.5812,7.4694,539500,2543.6274,730.0239,2540
2024-12-03,-1.1719,2550,2530,2528,2550,2530,0.9151,0.4896,4.9597,7.5513,7.4694,1427200,2539.251,730.0239,2530
2024-12-02,1.5873,2560,2520,2528.5,2560,2530,0.9259,0.4954,4.9016,7.6409,7.4694,1232200,2539.0164,730.0239,2560
2024-11-29,-0.7874,2540,2510,2527,2530,2520,0.9114,0.4876,4.9794,7.5215,7.4694,263500,2523.408,730.0239,2520
2024-11-28,-0.3922,2570,2530,2529.5,2560,2540,0.9187,0.4915,4.9402,7.5812,7.4694,613100,2539.9331,730.0239,2540
2024-11-26,-0.7782,2580,2540,2531,2550,2540,0.9223,0.4934,4.9208,7.611,7.4694,614000,2550.5945,730.0239,2550
