feature,importance,model
t54_ihsg_close,0.00036929862,xgb
t12_Price Change 1 Day Percent,0.00036769095,xgb
t00_Price to Sales Ratio,0.00036695183,xgb
t04_inflation_rate,0.0003592948,xgb
t01_Price Earnings Ratio,0.00035605908,xgb
t38_Price to Book Ratio,0.0003478752,xgb
t08_High Price,0.0003416424,xgb
t28_ihsg_close,0.0003398281,xgb
t21_Price to Sales Ratio,0.00033964045,xgb
t48_Ask Price,0.00033390225,xgb
t52_Price to Book Ratio,0.00032400803,xgb
t03_Price to Sales Ratio,0.00031981352,xgb
t03_Price to Book Ratio,0.00031889882,xgb
t17_Price Change 1 Day Percent,0.0003162331,xgb
t39_Moving Average 20 Day,0.00029721024,xgb
t32_Price to Sales Ratio,0.00029291137,xgb
t47_High Price,0.0002887108,xgb
t49_ihsg_close,0.00028824902,xgb
t52_Price Change 1 Day Percent,0.00028808432,xgb
t09_Dividend Indicated Yld - Gross,0.00028554528,xgb
t13_Price Change 1 Day Percent,0.00028491995,xgb
t47_Dividend Indicated Yld - Gross,0.00028422204,xgb
t02_Price Earnings Ratio,0.00028126247,xgb
t22_Moving Average 20 Day,0.00027642993,xgb
t18_ihsg_close,0.00027288008,xgb
t51_ihsg_close,0.00027215815,xgb
t42_Price to Sales Ratio,0.0002718048,xgb
t07_Ask Price,0.00026899116,xgb
t56_High Price,0.00026672197,xgb
t30_ihsg_close,0.00026462192,xgb
t39_ihsg_close,0.00026161145,xgb
t05_ihsg_close,0.0002546885,xgb
t36_Ask Price,0.0002524011,xgb
t21_Price to Book Ratio,0.00024568487,xgb
t01_High Price,0.00024415881,xgb
t14_Moving Average 20 Day,0.00024375123,xgb
t02_Bid Price,0.00024167169,xgb
t54_Ask Price,0.00024136428,xgb
t46_Price to Book Ratio,0.00023967033,xgb
t16_ihsg_return_1d,0.00023136272,xgb
t06_Price to Sales Ratio,0.00023020728,xgb
t34_Dividend Indicated Yld - Gross,0.00022914256,xgb
t53_Price Change 1 Day Percent,0.00022637738,xgb
t56_ihsg_close,0.00022611428,xgb
t02_ihsg_return_1d,0.0002257808,xgb
t42_Bid Price,0.00022303314,xgb
t04_Price to Sales Ratio,0.00022016706,xgb
t54_ihsg_return_1d,0.00021619633,xgb
t36_ihsg_close,0.0002158212,xgb
t49_Price Change 1 Day Percent,0.00021568606,xgb
t46_ihsg_close,0.00021565078,xgb
t58_Dividend Indicated Yld - Gross,0.00021472824,xgb
t41_bi_rate,0.0002122196,xgb
t57_ihsg_close,0.00021128205,xgb
t25_ihsg_return_1d,0.00021070875,xgb
t58_Price to Sales Ratio,0.00021045558,xgb
t23_Price Change 1 Day Percent,0.00020852973,xgb
t50_Price to Sales Ratio,0.00020746364,xgb
t43_Dividend Indicated Yld - Gross,0.0002055172,xgb
t29_ihsg_return_1d,0.0002006644,xgb
t21_Ask Price,0.00020039889,xgb
t01_cpi_index,0.00019974528,xgb
t33_Price to Sales Ratio,0.00019575265,xgb
t53_ihsg_return_1d,0.0001929185,xgb
t39_Price to Book Ratio,0.00019247564,xgb
t57_Dividend Indicated Yld - Gross,0.0001889084,xgb
t12_Dividend Indicated Yld - Gross,0.0001859938,xgb
t10_Moving Average 20 Day,0.00018359706,xgb
t58_ihsg_close,0.00018216894,xgb
t27_Price to Book Ratio,0.00017863615,xgb
t48_ihsg_close,0.00017818318,xgb
t12_ihsg_return_1d,0.00017581538,xgb
t11_Price Change 1 Day Percent,0.00017524815,xgb
t09_cpi_index,0.00017404679,xgb
t37_Ask Price,0.00017348195,xgb
t56_Price Change 1 Day Percent,0.0001716432,xgb
