feature,importance,model
t01_Bid Price,0.1717215379908792,lgbm
t59_Ask Price,0.13228940734672096,lgbm
t00_Moving Average 20 Day,0.0880079723218377,lgbm
t59_Bid Price,0.07551194050931712,lgbm
t38_Low Price,0.06290293956829977,lgbm
t49_Moving Average 20 Day,0.05738159177061471,lgbm
t05_Moving Average 20 Day,0.05382219621127777,lgbm
t01_Moving Average 20 Day,0.03546671657329627,lgbm
t59_High Price,0.03273934018005507,lgbm
t57_Price to Sales Ratio,0.02909522257970675,lgbm
t55_Low Price,0.027436813118672517,lgbm
t59_Low Price,0.022894006844445255,lgbm
t17_High Price,0.019482144859585812,lgbm
t15_Moving Average 20 Day,0.018063128295721587,lgbm
t27_Ask Price,0.015598174273289987,lgbm
t57_Ask Price,0.015123182281947844,lgbm
t34_Ask Price,0.014639301317345154,lgbm
t16_Moving Average 20 Day,0.014141018657984146,lgbm
t48_High Price,0.013530877167199265,lgbm
t58_Low Price,0.013088475582925016,lgbm
t58_Ask Price,0.012841426597056449,lgbm
t34_Moving Average 20 Day,0.010536385002195137,lgbm
t26_Ask Price,0.009900282188853497,lgbm
t16_High Price,0.009275491619956803,lgbm
t59_Price to Sales Ratio,0.008889199437624751,lgbm
t27_Bid Price,0.008715881968100282,lgbm
t57_High Price,0.008336609502794072,lgbm
t52_Bid Price,0.007996998655472033,lgbm
t50_Moving Average 20 Day,0.00687031258617941,lgbm
t57_Price Earnings Ratio,0.006673610838929422,lgbm
t15_Low Price,0.005748845359069743,lgbm
t38_Moving Average 20 Day,0.005677264912318251,lgbm
t45_Bid Price,0.0055660788653244175,lgbm
t49_High Price,0.005352283079298185,lgbm
t11_Price to Sales Ratio,0.005247550987469558,lgbm
t08_High Price,0.0047981389384834875,lgbm
t15_Price to Sales Ratio,0.004728211700285788,lgbm
t56_Ask Price,0.004544046825658777,lgbm
t13_Low Price,0.0045280102118251345,lgbm
t10_Bid Price,0.004385859349382628,lgbm
t48_Price Earnings Ratio,0.004384696365258553,lgbm
t04_High Price,0.004333000679056117,lgbm
t50_Price to Sales Ratio,0.004307609471183443,lgbm
t30_Dividend Indicated Yld - Gross,0.003982586790095967,lgbm
t49_Ask Price,0.0038106176149084047,lgbm
t39_Low Price,0.0034159451243749835,lgbm
t23_Dividend Indicated Yld - Gross,0.0032817233856588125,lgbm
t44_Bid Price,0.0031228314429771658,lgbm
t35_Moving Average 20 Day,0.003012589274910152,lgbm
t29_Moving Average 20 Day,0.002998907976825059,lgbm
t21_Low Price,0.0029844899578198004,lgbm
t48_Ask Price,0.0029754997322898463,lgbm
t26_Low Price,0.002908063761425033,lgbm
t33_Ask Price,0.002828794105703832,lgbm
t51_High Price,0.0028197387904855364,lgbm
t02_Low Price,0.0026892628612093,lgbm
t14_Low Price,0.0026429338338127177,lgbm
t03_Low Price,0.0025450452084150726,lgbm
t20_Ask Price,0.0025412029940591187,lgbm
t53_Price Earnings Ratio,0.0025232224574771446,lgbm
t40_Price to Sales Ratio,0.002391623398653222,lgbm
t13_Moving Average 20 Day,0.0023750183898021858,lgbm
t59_Moving Average 20 Day,0.0023707552604913156,lgbm
t17_Moving Average 20 Day,0.0023174849487201206,lgbm
t02_Price to Sales Ratio,0.0022297121125293786,lgbm
t04_Moving Average 20 Day,0.002152673390627032,lgbm
t09_High Price,0.002110346135317035,lgbm
t12_Ask Price,0.0020986906266065117,lgbm
t18_Bid Price,0.0019697480275338323,lgbm
t58_Bid Price,0.0019381874653521505,lgbm
t27_High Price,0.0019351799981786938,lgbm
t54_Moving Average 20 Day,0.0017653125969443613,lgbm
t57_Bid Price,0.0016988913516108527,lgbm
t29_Price to Sales Ratio,0.0016842161243928598,lgbm
t56_Moving Average 20 Day,0.001676894051215329,lgbm
t13_Ask Price,0.0016674844549797393,lgbm
t43_Moving Average 20 Day,0.0016309982312198092,lgbm
t29_Price Earnings Ratio,0.001587801903984098,lgbm
t32_Moving Average 20 Day,0.0015815376545642876,lgbm
t16_Ask Price,0.001513615934403982,lgbm
t53_Ask Price,0.0014966010766064703,lgbm
t50_High Price,0.0014641149681849043,lgbm
t30_Moving Average 20 Day,0.0014019004117960833,lgbm
t53_Price to Sales Ratio,0.0013825928436937368,lgbm
t33_Low Price,0.0013747290333143763,lgbm
t23_Low Price,0.0013466218789337455,lgbm
t39_High Price,0.0012910457473164277,lgbm
t18_High Price,0.0012875369860908495,lgbm
t45_Ask Price,0.001221749726550447,lgbm
t55_Ask Price,0.0011368205973331692,lgbm
t16_Dividend Indicated Yld - Gross,0.001107825322035179,lgbm
t49_Price to Sales Ratio,0.0010936003668659737,lgbm
t52_Price to Sales Ratio,0.0009896863688414344,lgbm
t26_High Price,0.0009874135781424056,lgbm
t51_Ask Price,0.0009736320406777062,lgbm
t35_Low Price,0.0009095869523710038,lgbm
t09_Dividend Indicated Yld - Gross,0.0008985371623600653,lgbm
t22_Dividend Indicated Yld - Gross,0.000831883191979946,lgbm
t50_Ask Price,0.000831134732285212,lgbm
t40_Ask Price,0.0008283803591551693,lgbm
t18_Ask Price,0.0008150266532932986,lgbm
t51_Low Price,0.0008025465490681269,lgbm
t22_Moving Average 20 Day,0.0007828939854396084,lgbm
t03_Dividend Indicated Yld - Gross,0.0007423254657714034,lgbm
t00_Ask Price,0.0007316998105091457,lgbm
t55_High Price,0.0006844720630614357,lgbm
t58_High Price,0.0006610943117620235,lgbm
t09_Bid Price,0.0006550219892929897,lgbm
t59_Price Earnings Ratio,0.0006525103241278999,lgbm
t25_Dividend Indicated Yld - Gross,0.0006490991737947263,lgbm
t42_Dividend Indicated Yld - Gross,0.0006456182119619258,lgbm
t30_High Price,0.0006369917547994614,lgbm
t50_Low Price,0.00061722464635455,lgbm
t41_Ask Price,0.0006119013960919893,lgbm
t58_Price to Sales Ratio,0.000607640203643013,lgbm
t52_High Price,0.0005714437010459364,lgbm
t51_Bid Price,0.0005311390842013197,lgbm
