feature,importance,model
t13_Ask Price,0.00031896699158969583,lgbm
t55_High Price,0.00031811295128640865,lgbm
t04_High Price,0.0003166528209498817,lgbm
t04_Moving Average 20 Day,0.000313769792691641,lgbm
t35_Low Price,0.0003125597912483308,lgbm
t47_High Price,0.0003106460876733128,lgbm
t37_bi_rate,0.00030991935957879596,lgbm
t42_Dividend Indicated Yld - Gross,0.0003053283377319189,lgbm
t08_cpi_index,0.000295891745203461,lgbm
t51_ihsg_close,0.0002808751960908085,lgbm
t49_ihsg_close,0.0002780228306646203,lgbm
t41_ihsg_close,0.00026401223785335777,lgbm
t27_ihsg_close,0.0002598146415258378,lgbm
t02_Price to Book Ratio,0.00024672466916862283,lgbm
t23_Low Price,0.0002467122004782076,lgbm
t40_Ask Price,0.0002420926744422005,lgbm
t59_ihsg_return_1d,0.00023851153509183497,lgbm
t10_Low Price,0.00023762459540130058,lgbm
t59_Price Change 1 Day Percent,0.00023477124082750948,lgbm
t21_Bid Price,0.00022963450316768085,lgbm
t07_cpi_index,0.0002294702126213535,lgbm
t40_Dividend Indicated Yld - Gross,0.00022560767069970618,lgbm
t01_Low Price,0.00021465267191958488,lgbm
t04_inflation_rate,0.000210374741925615,lgbm
t42_Price to Sales Ratio,0.0002054266805852842,lgbm
t04_cpi_index,0.00020052118230244075,lgbm
t05_Price to Sales Ratio,0.00019570418474054103,lgbm
t06_Moving Average 20 Day,0.00019494749413282805,lgbm
t50_Ask Price,0.00019438624460917903,lgbm
t19_High Price,0.00019422258083778227,lgbm
t52_Price Change 1 Day Percent,0.00018883426492165555,lgbm
t36_Ask Price,0.00018613711416522907,lgbm
t21_Price to Book Ratio,0.0001858378705311846,lgbm
t17_Moving Average 20 Day,0.00017891318147195812,lgbm
t42_Price Change 1 Day Percent,0.00017666837612184273,lgbm
t28_ihsg_close,0.00017597630857324437,lgbm
t07_bi_rate,0.0001744376597423584,lgbm
t41_Dividend Indicated Yld - Gross,0.00016876404046852156,lgbm
t52_Price to Book Ratio,0.00016684108286103846,lgbm
t37_Ask Price,0.00016401235394813784,lgbm
t43_Dividend Indicated Yld - Gross,0.0001548526194366939,lgbm
t00_Price to Sales Ratio,0.0001450830900801122,lgbm
t48_Low Price,0.00014479461514730626,lgbm
t20_ihsg_close,0.0001446173871409419,lgbm
t29_Price to Book Ratio,0.00014380230986993633,lgbm
t25_Price to Book Ratio,0.0001378910204463162,lgbm
t48_Dividend Indicated Yld - Gross,0.0001374701558464155,lgbm
t08_Dividend Indicated Yld - Gross,0.0001359333462837324,lgbm
t12_Price Change 1 Day Percent,0.00013456323706427783,lgbm
t13_Price to Sales Ratio,0.0001328121584389651,lgbm
t50_Dividend Indicated Yld - Gross,0.00012524734485519067,lgbm
t02_Price Change 1 Day Percent,0.00012366174261752241,lgbm
t18_High Price,0.00012268809212665217,lgbm
t22_Price to Sales Ratio,0.00011924966372600774,lgbm
t59_Moving Average 20 Day,0.00011852585756640628,lgbm
t02_Price Earnings Ratio,0.00011594022063769257,lgbm
t53_Low Price,0.00011444260893712567,lgbm
t30_Price to Sales Ratio,0.00011429632978232988,lgbm
t53_ihsg_return_1d,0.0001118687177056508,lgbm
t27_Moving Average 20 Day,0.00010821287147381267,lgbm
t20_ihsg_return_1d,0.00010662843166206222,lgbm
t34_ihsg_close,0.00010629691130970893,lgbm
t09_Low Price,0.00010601980095796574,lgbm
t39_Moving Average 20 Day,0.00010560965078930657,lgbm
t01_Ask Price,0.00010445691435563465,lgbm
t40_Moving Average 20 Day,0.00010372543398283867,lgbm
t36_ihsg_return_1d,0.00010110962089588407,lgbm
t17_Price Change 1 Day Percent,9.996489787050309e-05,lgbm
t12_ihsg_return_1d,9.918822823616621e-05,lgbm
t22_Price Change 1 Day Percent,9.849393497776816e-05,lgbm
t41_High Price,9.798213935454518e-05,lgbm
t12_Moving Average 20 Day,9.724761095158008e-05,lgbm
t17_Dividend Indicated Yld - Gross,9.619724843595593e-05,lgbm
t33_Price to Book Ratio,9.539328042136843e-05,lgbm
t06_ihsg_close,9.480940748789569e-05,lgbm
t44_High Price,9.464098274703017e-05,lgbm
t31_Dividend Indicated Yld - Gross,9.458912613282101e-05,lgbm
t06_Dividend Indicated Yld - Gross,9.317973701783056e-05,lgbm
t11_Low Price,9.29042421453344e-05,lgbm
t27_Price Earnings Ratio,9.267510153489768e-05,lgbm
t39_Dividend Indicated Yld - Gross,9.035738049152246e-05,lgbm
t02_ihsg_close,8.990265572926554e-05,lgbm
t00_Price to Book Ratio,8.951690554152635e-05,lgbm
t36_Bid Price,8.906615735667109e-05,lgbm
t02_Moving Average 20 Day,8.870378895401716e-05,lgbm
t06_High Price,8.845157865633122e-05,lgbm
t52_High Price,8.841237177959406e-05,lgbm
t26_ihsg_return_1d,8.722910928199101e-05,lgbm
t09_Moving Average 20 Day,8.721613451011561e-05,lgbm
t20_High Price,8.700186880463856e-05,lgbm
t31_Price to Book Ratio,8.596578151152285e-05,lgbm
t40_ihsg_close,8.558765664545931e-05,lgbm
t20_Price to Sales Ratio,8.468066049427639e-05,lgbm
t04_Price to Sales Ratio,8.318392861764826e-05,lgbm
t55_ihsg_return_1d,8.220234385181484e-05,lgbm
t21_ihsg_close,8.189467638554833e-05,lgbm
t14_Low Price,8.188418050435993e-05,lgbm
t31_Price Change 1 Day Percent,8.188142276903346e-05,lgbm
t23_Moving Average 20 Day,8.09263342362916e-05,lgbm
t59_Dividend Indicated Yld - Gross,8.061228842454895e-05,lgbm
t18_ihsg_close,8.01198679927385e-05,lgbm
t02_Ask Price,7.966990890171765e-05,lgbm
t03_Bid Price,7.87545963013281e-05,lgbm
t58_Price to Sales Ratio,7.841584691817365e-05,lgbm
t00_Price Earnings Ratio,7.809982900609543e-05,lgbm
t14_Dividend Indicated Yld - Gross,7.738722569083295e-05,lgbm
t25_ihsg_return_1d,7.57825487220311e-05,lgbm
t01_High Price,7.553132117701691e-05,lgbm
t18_Dividend Indicated Yld - Gross,7.546057328897484e-05,lgbm
t35_Price to Book Ratio,7.482910826412202e-05,lgbm
t36_Price Change 1 Day Percent,7.380207790452907e-05,lgbm
t56_High Price,7.292767142560349e-05,lgbm
t27_Price Change 1 Day Percent,7.243839063728043e-05,lgbm
t12_Ask Price,7.231729213935636e-05,lgbm
t39_Price Change 1 Day Percent,6.89960356701134e-05,lgbm
t52_Price to Sales Ratio,6.888690393289554e-05,lgbm
t43_Low Price,6.700686344989177e-05,lgbm
t07_Moving Average 20 Day,6.662495199641858e-05,lgbm
t10_bi_rate,6.658943303997891e-05,lgbm
t01_Price to Sales Ratio,6.60473027437068e-05,lgbm
t46_Price Change 1 Day Percent,6.488947238288649e-05,lgbm
t49_ihsg_return_1d,6.44919439851273e-05,lgbm
t28_Price to Book Ratio,6.388298411752123e-05,lgbm
t53_Price Change 1 Day Percent,6.346028307953898e-05,lgbm
t45_High Price,6.332097830328996e-05,lgbm
t14_cpi_index,6.321459425648833e-05,lgbm
t25_ihsg_close,6.306578932086772e-05,lgbm
t23_Price Earnings Ratio,6.241138612417998e-05,lgbm
t31_Low Price,6.086344807253717e-05,lgbm
t16_Bid Price,6.065706359367605e-05,lgbm
t38_ihsg_close,6.0458863052032106e-05,lgbm
t17_Low Price,6.022960990159079e-05,lgbm
t07_ihsg_return_1d,5.97204286846307e-05,lgbm
t32_ihsg_close,5.9173955576346096e-05,lgbm
t06_Price Change 1 Day Percent,5.909634321776932e-05,lgbm
t39_Ask Price,5.891094512592158e-05,lgbm
t04_Price to Book Ratio,5.868541082488074e-05,lgbm
t50_Price to Book Ratio,5.8534130945481826e-05,lgbm
t06_Bid Price,5.8484236438136645e-05,lgbm
t00_Price Change 1 Day Percent,5.798662931065682e-05,lgbm
t13_ihsg_return_1d,5.7807687065048644e-05,lgbm
t23_Price to Book Ratio,5.71603161305894e-05,lgbm
t18_ihsg_return_1d,5.5735551478662935e-05,lgbm
t11_Price Change 1 Day Percent,5.572732019922218e-05,lgbm
t13_Price Change 1 Day Percent,5.5534286174165725e-05,lgbm
t39_Price to Book Ratio,5.4641548733610716e-05,lgbm
t29_Price Change 1 Day Percent,5.453202627569814e-05,lgbm
t22_High Price,5.4032970529426065e-05,lgbm
t48_Price to Book Ratio,5.3863503652418154e-05,lgbm
t05_High Price,5.3625359757112707e-05,lgbm
t04_Price Change 1 Day Percent,5.3407793993392266e-05,lgbm
t50_ihsg_close,5.331138596733493e-05,lgbm
t03_ihsg_close,5.316191263630741e-05,lgbm
t32_Moving Average 20 Day,5.220399345656729e-05,lgbm
t49_bi_rate,5.1796146664650765e-05,lgbm
t37_ihsg_close,5.173948234680097e-05,lgbm
t21_Price Earnings Ratio,5.152881652373535e-05,lgbm
t10_Price Earnings Ratio,5.1001620434892625e-05,lgbm
t29_ihsg_close,5.0791859680929175e-05,lgbm
