feature,importance
Low Price,0.008124536431084088
Price Change 1 Day Percent,0.0076315631313870445
Bid Price,0.0057781211100518814
Dividend Indicated Yld - Gross,0.005504718523782986
ihsg_return_1d,0.004937285774697859
Price Earnings Ratio,0.00435793399810791
cpi_index,0.0032154000364243984
Price to Book Ratio,0.0030446893651969852
High Price,0.0027736990246921894
Ask Price,0.002468662856457146
ihsg_close,0.0019911216804757706
Price to Sales Ratio,0.0012004953265810992
exchange_rate_usd_idr,0.0006666349402318392
inflation_rate,9.853545343503235e-05
bi_rate,2.4531347056336305e-06
Moving Average 20 Day,0.0
